cohort,intercept,slope
dose0_unvaccinated,-6.236964778599477,-0.06364302780369872
dose1,-7.094213510465038,-0.039803242599515884
dose2,-6.646284639545762,-0.009763216234659623
dose3plus,-1.9887530794918438,-0.3388613551171582
