cohort,intercept,slope
dose0_unvaccinated,-6.47572810308758,-0.04757276576423309
dose1,-7.1500721823040205,-0.03409003018428089
dose2,-6.594721450768412,-0.016859198598377565
dose3,-5.189246070121233,0.005934735519815157
