EnrollmentDate,mc_id,YearOfBirth,Dose,window_name,window_role,window_n,window_theta0_mean,window_theta0_sd,window_theta_anchor,window_H_abs_start,window_H_abs_min,window_H_abs_max,window_H_rel_min,window_H_rel_max,window_step2_theta_limit,window_step2_ratio,window_H_rel_end,window_z_end,window_z_min,window_status,window_note,window_anchors_total,window_anchors_used,window_skip_step1,window_skip_step2,window_skip_weak_id,window_skip_step1_invalid_discriminant,window_skip_step1_nonfinite,window_skip_step2_invalid_discriminant,window_skip_step2_nonfinite
2021_24,,1920,0,post primary,primary,11,1.309238386361521,2.432376777795247e-16,1.2903730430836682,0.005563165542870041,0.005563165542870041,0.06738224097971963,0.0,0.06181907543684959,44.938443422811545,0.02871423540292569,0.06181907543684959,0.07976966849206646,,identified,,11,11,0,0,0,0,0,0,0
2021_24,,1920,0,post booster,diagnostic,4,1.393529175467021e-10,1.4924154666435314e-26,1.3935291753110753e-10,0.40152366156419944,0.40152366156419944,0.4206718247883021,0.0,0.019148163224102677,0.6226283129270269,2.2381397478697685e-10,0.019148163224102677,2.6683524106405665e-12,,identified,,4,4,0,0,0,0,0,0,0
2021_24,,1920,0,post COVID,diagnostic,0,,,2.032875004953908,0.77552767593202,0.77552767593202,0.854532871500311,0.0,0.079005195568291,0.32236115841972107,6.306203312208792,0.079005195568291,0.16060768733227404,,transport_or_anchor_fail,,16,0,0,16,0,0,0,16,0
2021_24,,1930,0,post primary,primary,11,10.338355929842992,2.2469334198890887e-15,9.658786112054692,0.003344914993136604,0.003344914993136604,0.03428629995507203,0.0,0.030941384961935423,74.74031492966859,0.12923127392684539,0.030941384961935423,0.29885621935807977,,identified,,11,11,0,0,0,0,0,0,0
2021_24,,1930,0,post booster,diagnostic,4,0.09473872960756854,1.6024689053196365e-17,0.09121632024390786,0.20187218839518264,0.20187218839518264,0.21100693778268842,0.0,0.009134749387505775,1.2384073407407805,0.07365615273997393,0.009134749387505775,0.0008332382254785679,,identified,,4,4,0,0,0,0,0,0,0
2021_24,,1930,0,post COVID,diagnostic,16,1.777504196351659e-12,2.6071425266304735e-28,1.7775041963492832e-12,0.3759786314715367,0.3759786314715367,0.41535755285283105,0.0,0.03937892138129434,0.66493140586615,2.673214380713269e-12,0.03937892138129434,6.999619800295921e-14,,identified,,16,16,0,0,0,0,0,0,0
2021_24,,1940,0,post primary,primary,11,16.70824104605543,3.1776437161565094e-15,15.99565586631657,0.0013186090587033459,0.0013186090587033459,0.014674766146213313,0.0,0.013356157087509967,189.59372252897873,0.08436806690090538,0.013356157087509967,0.21364049246827443,,identified,,11,11,0,0,0,0,0,0,0
2021_24,,1940,0,post booster,diagnostic,0,,,57.37544238945132,0.07984287039750988,0.07984287039750988,0.08318110337793047,0.0,0.0033382329804205885,3.1311499543457915,18.32408004280303,0.0033382329804205885,0.19153259405068787,,transport_or_anchor_fail,,4,0,0,4,0,0,0,4,0
2021_24,,1940,0,post COVID,diagnostic,0,,,11.203461884692322,0.1424042045791814,0.1424042045791814,0.15721362093834568,0.0,0.014809416359164274,1.755566141735596,6.381680312891148,0.014809416359164274,0.16591673171443588,,transport_or_anchor_fail,,16,0,0,16,0,0,0,16,0
2021_24,,1950,0,post primary,primary,11,25.531843752407777,4.351167857633658e-15,24.73370040545818,0.0006269280021820223,0.0006269280021820223,0.006132961553278021,0.0,0.005506033551095998,398.7698733026364,0.06202499752705029,0.005506033551095998,0.13618458427520944,,identified,,11,11,0,0,0,0,0,0,0
