EnrollmentDate,mc_id,YearOfBirth,Dose,theta_mode,theta_hat,theta_for_h0,theta0_hat,theta0_ci_low,theta0_ci_high,theta0_n,anchors_total,anchors_used,anchors_skipped_invalid_discriminant,anchors_skipped_nonfinite,anchors_skipped_weak_id,windows_skipped_weak_id,anchors_skipped_step1_invalid_discriminant,anchors_skipped_step1_nonfinite,anchors_skipped_step2_invalid_discriminant,anchors_skipped_step2_nonfinite,cross_window_variance,within_window_variance,f_statistic,p_value,cross_window_ratio,no_post_enrollment_window,primary_window_name,selected_window_count
2021_24,,1920,0,kcor7_theta0,0.7421353515619978,1.309238386361521,1.309238386361521,1.3092383863615207,1.3092383863615211,11,31,11,16,0,0,0,0,0,16,0,0.8570525759788135,2.9582283945787936e-32,2.8971818996445153e+31,0.0,9395127202.290176,False,post primary,3
2021_24,,1930,0,kcor7_theta0,1.213779519139857,10.338355929842992,10.338355929842992,10.33835592984299,10.338355929842994,11,31,11,0,0,0,0,0,0,0,0,35.30371201732156,1.6829888613579092e-30,2.097679481303101e+31,0.0,5816220266068.877,False,post primary,3
2021_24,,1940,0,kcor7_theta0,3.9031291392318295,16.70824104605543,16.70824104605543,16.708241046055427,16.708241046055434,11,31,11,20,0,0,0,0,0,20,0,,,,,,False,post primary,3
2021_24,,1950,0,kcor7_theta0,8.437373784376492,25.531843752407777,25.531843752407777,25.531843752407774,25.53184375240778,11,31,11,16,0,0,0,0,0,16,0,320.78551048018267,9.466716048641018e-30,3.38856165994577e+31,0.0,126.02624973021715,False,post primary,3
2021_24,,1960,0,kcor7_theta0,15.771392181776633,0.20001623043490027,0.20001623043490027,0.20001623043490024,0.2000162304349003,11,31,11,0,0,0,0,0,0,0,0,0.01075776405286221,8.131772127086376e-34,1.3229298466233252e+31,0.0,275.80635101105906,False,post primary,3
2021_24,,1970,0,kcor7_theta0,29.78579280824819,380.3334268097098,380.3334268097098,380.33342680970975,380.33342680970986,11,31,11,16,0,0,0,0,0,16,0,72288.70503893762,5.816113810408805e-27,1.2429038941701276e+31,0.0,3800.8959116443666,False,post primary,3
2021_24,,1980,0,kcor7_theta0,37.25444866330344,0.20000183715061837,0.20000183715061837,0.20000183715061834,0.2000018371506184,11,31,11,0,0,0,0,0,0,0,0,0.0025424985615125004,7.703719777548943e-34,3.3003518234426685e+30,0.0,1.9991380173840456,False,post primary,3
2021_24,,1990,0,kcor7_theta0,2.7717920181302702e-09,0.10000023066600772,0.10000023066600772,0.1000002306660077,0.10000023066600773,11,31,11,0,0,0,0,0,0,0,0,8.720521580853933e-11,2.0115268308044465e-34,4.335274800866781e+23,0.0,1.000186278696649,False,post primary,3
2021_24,,2000,0,kcor7_theta0,2.0644130171748598e-05,0.10000010285766892,0.10000010285766892,0.1000001028576689,0.10000010285766893,11,31,11,0,0,0,0,0,0,0,0,0.0007977978136183918,4.9004217473853e-34,1.6280186782781907e+30,0.0,1.5455465354083149,False,post primary,3
2021_24,,-2,0,kcor7_theta0,36.28411308517512,116.2301717352896,116.2301717352896,116.23017173528959,116.23017173528962,11,31,11,16,0,0,0,0,0,16,0,6737.8513881668505,5.14968527323606e-28,1.3084006168658125e+31,0.0,800.0587804518196,False,post primary,3
