enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean
2021_13,slope7_success,1920,0,160,-0.0033762794083395976,-4.579596434554159,-0.2813584646238982,-0.001793534781985573,1.0526466316452756,0.22011478988853483,,,,,,,0.0,159.0,79.5,-5.806137726772664,-4.376717787399277,-5.013466513636438
2021_13,slope7_success,1930,0,160,-0.0013875889742946685,-5.635906737578538,-0.002369812360202169,0.40809168202838303,39697.11679973271,0.18980318926190565,,,,,,,0.0,159.0,79.5,-6.200660949527335,-5.122108464644392,-5.780646801866913
2021_13,slope7_success,1940,0,160,-0.0006905870006484107,-6.163345438320475,-0.2812782901573938,-0.0006235428852924829,2.98749104424336,0.15137973245767786,,,,,,,0.0,159.0,79.5,-7.286043219345875,-6.228138899980776,-7.03294914887339
2021_13,slope7_success,1950,0,160,-0.00028482233606186665,-7.381071207138759,-0.2476128846645755,-0.00019089454635173864,2.7421163142669243,0.1354203467315992,,,,,,,0.0,159.0,79.5,-8.333140980553495,-7.436955762552515,-8.060830835111945
2021_20,slope7_success,1920,0,153,-0.003921658891248163,-4.812380179999242,-0.002446433208650155,-0.002446424132434668,0.09119208963815861,0.2435502815406407,,,,,,,0.0,152.0,76.0,-5.906599007985174,-4.2809475663652865,-4.998307173992007
2021_20,slope7_success,1920,1,153,-0.0009956114497516573,-5.184392726925156,-0.0012017457274367935,0.001164083059564748,62.795704266965906,0.42356467839703565,,,,,,,0.0,152.0,76.0,-7.153051583915533,-4.482991912097383,-5.188400760839033
2021_20,slope7_success,1930,0,153,-0.0028182198616067953,-5.557673436443785,-0.0019351045837046345,-0.001935104583611346,908.2616892534313,0.20350295617762326,,,,,,,0.0,152.0,76.0,-6.145462344576276,-5.022015902182163,-5.7047413857130165
2021_20,slope7_success,1940,0,153,-0.002255913767328698,-6.473135703118046,-0.004678088085553968,0.7952853859201273,28359.96006888606,0.18336001390973844,,,,,,,0.0,152.0,76.0,-7.0794179832264215,-6.04488991320606,-6.71984177596985
2021_20,slope7_success,1950,0,153,-0.0016973519538607195,-7.454442145168889,-0.004242332767571465,0.8138104267734856,31761.48856360324,0.16307292896265038,,,,,,,0.0,152.0,76.0,-8.066107408615705,-6.988358538616006,-7.677474284218717
2021_20,slope7_success,1960,0,153,-0.00023475375601227457,-8.705122922263751,-0.0017258634566502688,0.3684782879211966,40878.43368880419,0.1533333148567969,,,,,,,0.0,152.0,76.0,-9.145113279545699,-8.240034430309768,-8.80133394835413
2021_20,slope7_success,1960,2,153,-0.0009368063695227804,-9.426840394710608,0.0003249373702002372,0.00032493738061885633,5056.949773310891,0.3226585862811706,,,,,,,0.0,152.0,76.0,-10.616331145548786,-8.72120284956375,-9.402145166655645
2021_20,slope7_success,2000,0,152,-0.0028931777119920684,-12.540053300612819,0.0014797174317668046,0.0014797174354729413,1.2792707385460798,0.541198888749107,,,,,,,1.0,152.0,76.5,-13.822938899366228,-11.33782576765106,-12.426853900891553
2021_24,slope7_success,1920,0,149,-0.0039548432734660376,-4.773421643276123,-0.00289253187879432,-0.0028925318142093473,16.788445145576134,0.24887142992331543,,,,,,,0.0,148.0,74.0,-6.036809154678112,-4.257881212433965,-4.987468994214213
2021_24,slope7_success,1930,0,149,-0.0026383407119425864,-5.515743173479906,-0.0022064146370502774,-0.002206414637024885,0.11728822865566713,0.21388680858915912,,,,,,,0.0,148.0,74.0,-6.11477371441335,-4.957818607904032,-5.679017855792333
2021_24,slope7_success,1940,0,149,-0.002665843441970515,-6.357555019866887,-0.005863030675124139,1.2921923116644312,36157.07932105529,0.1970203996283258,,,,,,,0.0,148.0,74.0,-7.091726650875267,-5.910116595636152,-6.660050860589153
2021_24,slope7_success,1950,0,149,-0.0022226037831552807,-7.264129028457568,-0.006092773558258831,4.908966652492716,125628.7774715888,0.17899716334053667,,,,,,,0.0,148.0,74.0,-7.96296448733463,-6.787700328001589,-7.571726588552151
2021_24,slope7_success,1960,0,149,-0.00116158981451142,-8.447269905900557,-0.004180652320253155,0.5971535451879058,22460.00342247369,0.17089959261297266,,,,,,,0.0,148.0,74.0,-9.146686307129547,-7.980978522316281,-8.65872852682944
2021_24,slope7_success,1970,0,149,-0.001372258025961926,-9.61975003193338,-0.002460682160201533,0.2782678749686797,18440.16603006498,0.17782053427462285,,,,,,,0.0,148.0,74.0,-10.174988940026582,-9.20040860531836,-9.746187987010186
2021_30,slope7_success,1920,0,143,-0.004911900617983074,-4.7299405203129465,-0.003553011407751054,-0.003553011313038771,23.05458998237191,0.25021388350426566,,,,,,,0.0,142.0,71.0,-6.00278856166929,-4.251660994142471,-4.982204331418363
2021_30,slope7_success,1930,0,143,-0.0028060317660862284,-5.473316532327911,-0.0025848259503163987,-0.0025848259340425454,0.0010813338315531513,0.21914623885542336,,,,,,,0.0,142.0,71.0,-6.103734926134564,-4.923490398227655,-5.65683917220837
2021_30,slope7_success,1930,1,143,-0.001081478649326942,-5.5193835258899036,-0.015234388728865934,0.031087890955898957,212.63114249737652,0.40353727298378966,,,,,,,0.0,142.0,71.0,-8.094378437208187,-5.050143917796519,-5.974592675461849
2021_30,slope7_success,1940,0,143,-0.002627742907941099,-6.2457503766225715,-0.008395360580853588,2.1277478907516536,32535.20163531949,0.20458792581626106,,,,,,,0.0,142.0,71.0,-7.050494089719706,-5.826806385754064,-6.620637117032591
