cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose0_unvaccinated,0,1808,1549449,0.0011668664150933654,-6.753433400872971,-0.03942068215529419,0.0011668664150933654,0.0011668664150933654
dose0_unvaccinated,1,1635,1547641,0.0010564465531735074,-6.852844310759973,-0.03942068215529419,0.001098924144094624,0.0022657905591879895
dose0_unvaccinated,2,1550,1546006,0.001002583431112169,-6.905175179191864,-0.03942068215529419,0.0010848280162946938,0.0033506185754826833
dose0_unvaccinated,3,1813,1544456,0.0011738761091283922,-6.747444091996248,-0.03942068215529419,0.0013212433610650302,0.004671861936547714
dose0_unvaccinated,4,2616,1542643,0.0016957909250552461,-6.379606024532652,-0.03942068215529419,0.001985422986890126,0.0066572849234378395
dose0_unvaccinated,5,2920,1540027,0.0018960706533067276,-6.267971611441325,-0.03942068215529419,0.002309167519281347,0.008966452442719187
dose0_unvaccinated,6,2064,1537107,0.001342782252634332,-6.613011509631518,-0.03942068215529419,0.0017010876868856514,0.010667540129604839
dose0_unvaccinated,7,1940,1535043,0.001263808245111049,-6.673625699583019,-0.03942068215529419,0.0016654150214204919,0.01233295515102533
dose0_unvaccinated,8,1938,1533103,0.0012641029337233049,-6.673392551665436,-0.03942068215529419,0.0017327819569577891,0.014065737107983119
dose0_unvaccinated,9,1581,1531165,0.0010325471128193237,-6.875726604320872,-0.03942068215529419,0.001472283819761739,0.015538020927744858
dose0_unvaccinated,10,1431,1529584,0.000935548489000931,-6.974377581417068,-0.03942068215529419,0.0013876123261118646,0.016925633253856723
dose0_unvaccinated,11,1342,1528153,0.000878184317931516,-7.037654057054265,-0.03942068215529419,0.0013549014562010458,0.018280534710057767
dose0_unvaccinated,12,1374,1526811,0.0008999149207072781,-7.013210331655915,-0.03942068215529419,0.0014442543002759626,0.01972478901033373
dose0_unvaccinated,13,1384,1525437,0.0009072809955442277,-7.00505834817336,-0.03942068215529419,0.0015146218424010184,0.02123941085273475
dose0_unvaccinated,14,1437,1524053,0.0009428805953598726,-6.966570905447888,-0.03942068215529419,0.001637341555275108,0.02287675240800986
dose0_unvaccinated,15,1580,1522616,0.0010376877689450262,-6.87076034011902,-0.03942068215529419,0.0018744310459088438,0.0247511834539187
dose0_unvaccinated,16,1375,1521036,0.0009039891232028696,-7.0086932294997135,-0.03942068215529419,0.001698580604822196,0.026449764058740898
dose0_unvaccinated,17,1809,1519661,0.001190397068819954,-6.733468356237307,-0.03942068215529419,0.0023266710670458426,0.028776435125786738
dose0_unvaccinated,18,1644,1517852,0.0010831095521829533,-6.827919159862282,-0.03942068215529419,0.0022020932778470796,0.03097852840363382
dose0_unvaccinated,19,1299,1516208,0.0008567426105125419,-7.062373022268588,-0.03942068215529419,0.0018118985490386966,0.032790426952672515
dose0_unvaccinated,20,1378,1514909,0.0009096255946726833,-7.002477477541367,-0.03942068215529419,0.0020010888242504524,0.034791515776922965
dose0_unvaccinated,21,1246,1513531,0.0008232404886322117,-7.102262190212487,-0.03942068215529419,0.0018838685727439967,0.03667538434966697
dose0_unvaccinated,22,1203,1512285,0.0007954849780299349,-7.136558594048031,-0.03942068215529419,0.0018935468154554335,0.038568931165122396
dose0_unvaccinated,23,1167,1511082,0.0007722942897870533,-7.166144876192056,-0.03942068215529419,0.0019122605807800799,0.04048119174590248
dose0_unvaccinated,24,1097,1509915,0.0007265309636635174,-7.227229455540729,-0.03942068215529419,0.001871279076488278,0.042352470822390756
