t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.0008418379668923068,0.0011668664150933654,dose1,0.7214518776800138
1,0.0015628890057847208,0.002292734079933656,dose1,0.6816704208227564
2,0.0023536516326418755,0.0034314100474264362,dose1,0.6859138370015571
3,0.003122573432227687,0.0048522387153978955,dose1,0.6435325248271705
4,0.0039990054894978545,0.007039655649757097,dose1,0.5680683385511579
5,0.004903257187803715,0.009646130839470378,dose1,0.5083133609625199
6,0.005668912142794912,0.011613312592305441,dose1,0.48813911597133686
7,0.00644475647636415,0.01358646165213636,dose1,0.47435135364154307
8,0.007379795245798732,0.015689760410868753,dose1,0.47035742115068735
9,0.008264045756074612,0.017520675562833925,dose1,0.47167392181687373
10,0.009015799090390207,0.0192886030964506,dose1,0.4674158644273124
11,0.009848736785885433,0.02105717878651926,dose1,0.4677139746623062
12,0.010719701024023021,0.022988609983555057,dose1,0.4663048801656592
13,0.011731603720825873,0.02506380740548759,dose1,0.4680694968071464
14,0.012598820207676976,0.027362146577075072,dose1,0.4604470695209361
15,0.013662023717858641,0.030057799254543147,dose1,0.4545250835467983
16,0.014681188500298075,0.032560450065078426,dose1,0.4508902202059234
17,0.016080770557793788,0.03607256497831593,dose1,0.44578949589569056
18,0.01740009654366609,0.039478129165400666,dose1,0.4407528145602982
19,0.01854078353608806,0.04234895514169375,dose1,0.4378097044806738
20,0.019857516691965466,0.04559727649916961,dose1,0.4354978677704929
21,0.02103497644932651,0.04873029423412169,dose1,0.43166118283287197
22,0.022238483055859234,0.051956617872714224,dose1,0.42802022082946395
23,0.023240886583880113,0.05529471206250763,dose1,0.420309387942689
24,0.024405752691474696,0.05864135752855892,dose1,0.4161866934811778
0,0.0008116428547427304,0.0011668664150933654,dose2,0.695574783495858
1,0.0017261103421156916,0.002292734079933656,dose2,0.7528611174187189
2,0.002747635945390654,0.0034314100474264362,dose2,0.8007308676649283
3,0.003913214773262216,0.0048522387153978955,dose2,0.8064761447201071
4,0.005283639543064683,0.007039655649757097,dose2,0.7505536925654085
5,0.006744067191648715,0.009646130839470378,dose2,0.6991473890602806
6,0.008003561093409101,0.011613312592305441,dose2,0.6891712445614181
7,0.00926872314967631,0.01358646165213636,dose2,0.682202871233709
8,0.010584030232138063,0.015689760410868753,dose2,0.674582017462269
9,0.011917389289364703,0.017520675562833925,dose2,0.6801900557969641
10,0.013159752691853798,0.0192886030964506,dose2,0.6822553517933676
11,0.014344466017469984,0.02105717878651926,dose2,0.681214998562488
12,0.01566744543431814,0.022988609983555057,dose2,0.681530786108614
13,0.017022492758524747,0.02506380740548759,dose2,0.6791662767931498
14,0.018396197430684626,0.027362146577075072,dose2,0.6723228887833405
15,0.01990235125903317,0.030057799254543147,dose2,0.6621360096868321
16,0.021357144282978135,0.032560450065078426,dose2,0.6559228831185007
17,0.02326102560956541,0.03607256497831593,dose2,0.6448398006325118
18,0.02511313333222387,0.039478129165400666,dose2,0.6361277462356889
19,0.026514329966551387,0.04234895514169375,dose2,0.6260917153023496
20,0.02813315070674288,0.04559727649916961,dose2,0.6169919097391318
21,0.029606345253311236,0.04873029423412169,dose2,0.6075552326949192
22,0.031020927146144416,0.051956617872714224,dose2,0.5970543968343723
23,0.0324015994695233,0.05529471206250763,dose2,0.58598007404956
24,0.03385200086281367,0.05864135752855892,dose2,0.5772717803429114
0,0.0,0.0011668664150933654,dose3,0.0
1,0.0,0.002292734079933656,dose3,0.0
2,0.0,0.0034314100474264362,dose3,0.0
3,0.0,0.0048522387153978955,dose3,0.0
4,0.0,0.007039655649757097,dose3,0.0
5,0.0,0.009646130839470378,dose3,0.0
6,0.0,0.011613312592305441,dose3,0.0
7,0.0,0.01358646165213636,dose3,0.0
8,0.005745161104252009,0.015689760410868753,dose3,0.3661726472193927
9,0.005745161104252009,0.017520675562833925,dose3,0.32790751037654836
10,0.011490322208504017,0.0192886030964506,dose3,0.5957052540535043
11,0.017252657516052247,0.02105717878651926,dose3,0.8193242641924103
12,0.017252657516052247,0.022988609983555057,dose3,0.750487198993044
13,0.017252657516052247,0.02506380740548759,dose3,0.6883494289693002
14,0.017252657516052247,0.027362146577075072,dose3,0.6305301181990076
15,0.022981500286864808,0.030057799254543147,dose3,0.7645769436239297
16,0.022981500286864808,0.032560450065078426,dose3,0.7058102771990552
17,0.022981500286864808,0.03607256497831593,dose3,0.6370908278921236
18,0.022981500286864808,0.039478129165400666,dose3,0.5821324559225586
19,0.022981500286864808,0.04234895514169375,dose3,0.5426698299740623
20,0.022981500286864808,0.04559727649916961,dose3,0.5040103719084916
21,0.022981500286864808,0.04873029423412169,dose3,0.47160602347238056
22,0.03427263329097712,0.051956617872714224,dose3,0.659639420223237
23,0.03997021627314813,0.05529471206250763,dose3,0.7228578426675076
24,0.03997021627314813,0.05864135752855892,dose3,0.6816045527766073
0,0.0,0.0011668664150933654,dose4,0.0
1,0.0,0.002292734079933656,dose4,0.0
2,0.0,0.0034314100474264362,dose4,0.0
3,0.0,0.0048522387153978955,dose4,0.0
4,0.0,0.007039655649757097,dose4,0.0
