t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.001671980955577517,0.0016755274092194157,dose1,0.9978833801104846
1,0.0031066857620166807,0.0033422090309365754,dose1,0.9295306584150347
2,0.004362990611076504,0.00504794599269493,dose1,0.8643100810757564
3,0.005722777870480703,0.006463054621165836,dose1,0.8854602359159609
4,0.006695643643756824,0.00781617544939717,dose1,0.8566393738534351
5,0.007970213773323912,0.009090847532596827,dose1,0.8767294516675793
6,0.009185237271428321,0.010489532301621387,dose1,0.875657465598622
7,0.010464872753286353,0.011957628961743433,dose1,0.8751628592835516
8,0.01186910340927981,0.01356784875759515,dose1,0.8747962643496305
9,0.01339769530668326,0.015422113377923256,dose1,0.868732772059199
10,0.014777690067943475,0.01712477047064772,dose1,0.8629423730034724
11,0.016781460155569333,0.019408135111223062,dose1,0.8646611360923867
12,0.0186719488493021,0.021585031140774504,dose1,0.8650415524842779
13,0.02022343800700992,0.023400123877486072,dose1,0.8642449122076326
14,0.022050249565599218,0.025404134063232782,dose1,0.86797879076872
15,0.02358128637720258,0.027332348244585792,dose1,0.8627610831429747
16,0.02552158537599205,0.029187417358879374,dose1,0.8744036877710761
17,0.027024089544347627,0.03110539135168377,dose1,0.8687911763571492
18,0.02855861730308229,0.03305906030497253,dose1,0.8638665781411465
0,0.0011653872295420275,0.0016755274092194157,dose2,0.6955345656741099
1,0.0021707196111529275,0.0033422090309365754,dose2,0.6494864894477136
2,0.0031605933406576494,0.00504794599269493,dose2,0.626114729556407
3,0.00403257316914446,0.006463054621165836,dose2,0.6239423004896566
4,0.004837128839020164,0.00781617544939717,dose2,0.6188613433407985
5,0.005647144514558104,0.009090847532596827,dose2,0.6211901028686366
6,0.0064449148980116324,0.010489532301621387,dose2,0.6144139425931331
7,0.007310050771397963,0.011957628961743433,dose2,0.6113294528684574
8,0.008187373438942176,0.01356784875759515,dose2,0.6034393207512373
9,0.009146114252093107,0.015422113377923256,dose2,0.5930519395994527
10,0.010047143731247862,0.01712477047064772,dose2,0.5867023880922791
11,0.01129455930751301,0.019408135111223062,dose2,0.5819497464442013
12,0.012485727464029536,0.021585031140774504,dose2,0.5784438012630583
13,0.013394968201885746,0.023400123877486072,dose2,0.5724315081169719
14,0.014440038152567052,0.025404134063232782,dose2,0.5684129250796862
15,0.01544934308805638,0.027332348244585792,dose2,0.5652402402179795
16,0.016402933398373586,0.029187417358879374,dose2,0.5619864613619715
17,0.017431647905563855,0.03110539135168377,dose2,0.5604059986874222
18,0.018476382054310053,0.03305906030497253,dose2,0.5588901161528801
0,0.0009030757817994482,0.0016755274092194157,dose3,0.538980010885759
1,0.001953782926476585,0.0033422090309365754,dose3,0.584578315661036
2,0.0031695645593489818,0.00504794599269493,dose3,0.6278919313534425
3,0.004488409015422666,0.006463054621165836,dose3,0.6944717750069941
4,0.005754579662000315,0.00781617544939717,dose3,0.7362398270765406
5,0.006983309608506533,0.009090847532596827,dose3,0.7681692584435591
6,0.008431496677940091,0.010489532301621387,dose3,0.8038010117794305
7,0.009937200216274622,0.011957628961743433,dose3,0.8310343335820259
