cohort,intercept,slope
dose0_unvaccinated,-7.032878535862369,0.0328696993416675
dose1,-7.449118837247871,0.05012532550869602
dose2,-7.870664162388745,0.06370098267874431
dose3plus,-7.351872918254628,0.08238380366836129
