t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.001671980955577517,0.0016755274092194157,dose1,0.9978833801104846
1,0.0031066857620166807,0.0033422090309365754,dose1,0.9295306584150347
2,0.004362990611076504,0.00504794599269493,dose1,0.8643100810757564
3,0.005722777870480703,0.006463054621165836,dose1,0.8854602359159609
4,0.006695643643756824,0.00781617544939717,dose1,0.8566393738534351
5,0.007970213773323912,0.009090847532596827,dose1,0.8767294516675793
6,0.009185237271428321,0.010489532301621387,dose1,0.875657465598622
7,0.010464872753286353,0.011957628961743433,dose1,0.8751628592835516
8,0.01186910340927981,0.01356784875759515,dose1,0.8747962643496305
9,0.01339769530668326,0.015422113377923256,dose1,0.868732772059199
10,0.014777690067943475,0.01712477047064772,dose1,0.8629423730034724
11,0.016781460155569333,0.019408135111223062,dose1,0.8646611360923867
12,0.0186719488493021,0.021585031140774504,dose1,0.8650415524842779
13,0.02022343800700992,0.023400123877486072,dose1,0.8642449122076326
14,0.022050249565599218,0.025404134063232782,dose1,0.86797879076872
15,0.02358128637720258,0.027332348244585792,dose1,0.8627610831429747
16,0.02552158537599205,0.029187417358879374,dose1,0.8744036877710761
17,0.027024089544347627,0.03110539135168377,dose1,0.8687911763571492
18,0.02855861730308229,0.03305906030497253,dose1,0.8638665781411465
19,0.030340856731676705,0.035166714093916154,dose1,0.8627720136088264
20,0.03242792262446746,0.03731868951908146,dose1,0.8689459099848016
21,0.03486575195453056,0.03979857189636716,dose1,0.8760553530524314
22,0.0371413285779826,0.04262175946482882,dose1,0.8714170659181714
23,0.04009052207608632,0.04599458658203075,dose1,0.8716356652910394
24,0.04009052207608632,0.04599458658203075,dose1,0.8716356652910394
0,0.0011653872295420275,0.0016755274092194157,dose2,0.6955345656741099
1,0.0021707196111529275,0.0033422090309365754,dose2,0.6494864894477136
2,0.0031605933406576494,0.00504794599269493,dose2,0.626114729556407
3,0.00403257316914446,0.006463054621165836,dose2,0.6239423004896566
4,0.004837128839020164,0.00781617544939717,dose2,0.6188613433407985
5,0.005647144514558104,0.009090847532596827,dose2,0.6211901028686366
6,0.0064449148980116324,0.010489532301621387,dose2,0.6144139425931331
7,0.007310050771397963,0.011957628961743433,dose2,0.6113294528684574
8,0.008187373438942176,0.01356784875759515,dose2,0.6034393207512373
9,0.009146114252093107,0.015422113377923256,dose2,0.5930519395994527
10,0.010047143731247862,0.01712477047064772,dose2,0.5867023880922791
11,0.01129455930751301,0.019408135111223062,dose2,0.5819497464442013
12,0.012485727464029536,0.021585031140774504,dose2,0.5784438012630583
13,0.013394968201885746,0.023400123877486072,dose2,0.5724315081169719
14,0.014440038152567052,0.025404134063232782,dose2,0.5684129250796862
15,0.01544934308805638,0.027332348244585792,dose2,0.5652402402179795
16,0.016402933398373586,0.029187417358879374,dose2,0.5619864613619715
17,0.017431647905563855,0.03110539135168377,dose2,0.5604059986874222
18,0.018476382054310053,0.03305906030497253,dose2,0.5588901161528801
19,0.019538468128855145,0.035166714093916154,dose2,0.5555955007943068
20,0.02055469644718389,0.03731868951908146,dose2,0.5507882702077
21,0.02180736902477925,0.03979857189636716,dose2,0.5479435061392718
22,0.02312389209427572,0.04262175946482882,dose2,0.542537248205693
23,0.024657508400579058,0.04599458658203075,dose2,0.5360958806764491
24,0.024657508400579058,0.04599458658203075,dose2,0.5360958806764491
0,0.0009029343083604315,0.0016755274092194157,dose3plus,0.5388955757173732
1,0.0019539954597862863,0.0033422090309365754,dose3plus,0.5846419063304616
2,0.0031711855147828396,0.00504794599269493,dose3plus,0.6282130432345684
3,0.004490367781656141,0.006463054621165836,dose3plus,0.694774846286441
4,0.005756897770206511,0.00781617544939717,dose3plus,0.7365364053993927
5,0.006985428746996441,0.009090847532596827,dose3plus,0.7684023652558862
6,0.008433378902035632,0.010489532301621387,dose3plus,0.8039804501033938
7,0.009939442577935017,0.011957628961743433,dose3plus,0.8312218591916082
8,0.0114700781492151,0.01356784875759515,dose3plus,0.8453866455394319
9,0.013211028468268717,0.015422113377923256,dose3plus,0.8566289291014852
10,0.014926828435990018,0.01712477047064772,dose3plus,0.8716512995431571
11,0.01720902145721693,0.019408135111223062,dose3plus,0.8866911404784507
12,0.019473982756481205,0.021585031140774504,dose3plus,0.9021985017567249
13,0.021239835607225907,0.023400123877486072,dose3plus,0.9076804771428446
14,0.023313838170496728,0.025404134063232782,dose3plus,0.9177182781176139
15,0.025201961777021366,0.027332348244585792,dose3plus,0.9220562225600765
16,0.02708876235468559,0.029187417358879374,dose3plus,0.9280972694734353
17,0.02889974733052386,0.03110539135168377,dose3plus,0.9290912627604795
18,0.03083632200498881,0.03305906030497253,dose3plus,0.9327646254790203
19,0.03292406744100465,0.035166714093916154,dose3plus,0.9362281432419725
20,0.03493192501099625,0.03731868951908146,dose3plus,0.9360437212619463
21,0.037286880585292045,0.03979857189636716,dose3plus,0.9368899135739774
22,0.03973850517885,0.04262175946482882,dose3plus,0.9323525278375611
23,0.04259619365686015,0.04599458658203075,dose3plus,0.9261131976904342
24,0.04259619365686015,0.04599458658203075,dose3plus,0.9261131976904342
