icd,count,pct
I25,4222,0.14709776322207513
I50,1906,0.06640652219357536
E11,1193,0.041565047731865375
C34,1037,0.03612988641906487
U07,1020,0.0355375931990802
G30,925,0.03222771932269528
C50,828,0.028848163891018047
J18,703,0.024493066685248414
C25,678,0.023622047244094488
I63,660,0.02299491324646366
J44,646,0.022507142359417462
I10,639,0.022263256915894362
I11,628,0.021880008361786635
I21,506,0.017629433488955473
F01,488,0.017002299491324646
I48,471,0.016410006271339976
C18,458,0.015957076161939934
A41,400,0.013936311058462825
I70,394,0.013727266392585882
R99,359,0.012507839174970385
C80,332,0.011567138178524144
I61,302,0.010521914849139433
C56,297,0.010347710960908647
I64,294,0.010243188627970176
I67,282,0.009825099296216291
I69,223,0.007769493415093025
C16,198,0.006898473973939098
S72,197,0.006863633196292941
C71,193,0.006724270085708313
K70,175,0.006097136088077486
N18,174,0.006062295310431329
S06,166,0.005783569089262072
I35,162,0.005644205978677444
I26,161,0.005609365201031287
C22,160,0.00557452442338513
C54,160,0.00557452442338513
C64,159,0.005539683645738973
C20,157,0.005470002090446659
C67,152,0.005295798202215873
N17,150,0.005226116646923559
G20,124,0.004320256428123476
C90,118,0.004111211762246533
K56,112,0.003902167096369591
C53,110,0.003832485541077277
C24,108,0.0037628039857849627
C92,108,0.0037628039857849627
I71,106,0.0036931224304926485
N39,105,0.0036582816528464915
C43,102,0.0035537593199080203
K74,99,0.003449236986969549
C23,97,0.003379555431677235
I46,94,0.003275033098738764
R54,94,0.003275033098738764
E10,92,0.0032053515434464497
F03,86,0.0029963068775695073
I13,84,0.002926625322277193
C83,81,0.002822102989338722
A49,75,0.0026130583234617796
E86,72,0.0025085359905233084
C15,70,0.0024388544352309943
J45,70,0.0024388544352309943
J15,67,0.002334332102292523
I49,66,0.002299491324646366
C57,65,0.002264650547000209
I60,65,0.002264650547000209
I42,63,0.002194968991707895
J84,63,0.002194968991707895
C19,62,0.002160128214061738
K55,60,0.0020904466587694237
K85,58,0.0020207651034771096
K57,57,0.0019859243258309525
C44,57,0.0019859243258309525
R09,56,0.0019510835481847955
A04,53,0.0018465612152463243
C51,53,0.0018465612152463243
K25,52,0.0018117204376001672
C76,49,0.001707198104661696
I12,49,0.001707198104661696
C91,48,0.001672357327015539
C55,47,0.001637516549369382
I74,46,0.0016026757717232248
I80,46,0.0016026757717232248
J20,46,0.0016026757717232248
J10,44,0.0015329942164309107
I27,44,0.0015329942164309107
T71,43,0.0014981534387847537
K92,43,0.0014981534387847537
C85,42,0.0014633126611385966
I24,42,0.0014633126611385966
C21,40,0.0013936311058462825
T06,40,0.0013936311058462825
K65,39,0.0013587903282001254
I51,39,0.0013587903282001254
I34,37,0.0012891087729078113
J12,36,0.0012542679952616542
N10,35,0.0012194272176154972
K26,34,0.00118458643996934
L89,33,0.001149745662323183
J96,33,0.001149745662323183
C65,33,0.001149745662323183
R98,32,0.001114904884677026
G35,31,0.001080064107030869
E66,31,0.001080064107030869
K80,30,0.0010452233293847119
D46,30,0.0010452233293847119
C49,30,0.0010452233293847119
K83,29,0.0010103825517385548
I08,29,0.0010103825517385548
G40,28,0.0009755417740923977
E43,28,0.0009755417740923977
A46,27,0.0009407009964462407
C17,26,0.0009058602188000836
C26,26,0.0009058602188000836
C73,26,0.0009058602188000836
T17,26,0.0009058602188000836
D38,25,0.0008710194411539265
A09,25,0.0008710194411539265
J69,24,0.0008361786635077695
K63,24,0.0008361786635077695
K72,23,0.0008013378858616124
C02,23,0.0008013378858616124
D37,23,0.0008013378858616124
C94,23,0.0008013378858616124
D47,23,0.0008013378858616124
K76,22,0.0007664971082154554
D68,22,0.0007664971082154554
G12,22,0.0007664971082154554
N19,21,0.0007316563305692983
J43,21,0.0007316563305692983
M46,21,0.0007316563305692983
C45,20,0.0006968155529231412
E13,20,0.0006968155529231412
G31,20,0.0006968155529231412
T51,20,0.0006968155529231412
N30,20,0.0006968155529231412
G93,20,0.0006968155529231412
S22,20,0.0006968155529231412
C82,19,0.0006619747752769842
I38,19,0.0006619747752769842
T78,19,0.0006619747752769842
L03,19,0.0006619747752769842
N13,19,0.0006619747752769842
E14,19,0.0006619747752769842
C48,18,0.0006271339976308271
E41,17,0.00059229321998467
E87,17,0.00059229321998467
I62,16,0.000557452442338513
C09,16,0.000557452442338513
E78,16,0.000557452442338513
G41,16,0.000557452442338513
C52,16,0.000557452442338513
I33,16,0.000557452442338513
I20,16,0.000557452442338513
D48,16,0.000557452442338513
S32,16,0.000557452442338513
K81,15,0.0005226116646923559
T75,15,0.0005226116646923559
C95,15,0.0005226116646923559
F10,15,0.0005226116646923559
G21,14,0.00048777088704619886
C32,14,0.00048777088704619886
M05,14,0.00048777088704619886
I83,14,0.00048777088704619886
C88,13,0.0004529301094000418
K75,13,0.0004529301094000418
C39,13,0.0004529301094000418
T43,13,0.0004529301094000418
G91,12,0.00041808933175388474
C38,12,0.00041808933175388474
I82,12,0.00041808933175388474
K52,12,0.00041808933175388474
S25,11,0.0003832485541077277
J16,11,0.0003832485541077277
C66,11,0.0003832485541077277
K86,11,0.0003832485541077277
C72,10,0.0003484077764615706
M32,10,0.0003484077764615706
S42,10,0.0003484077764615706
J41,10,0.0003484077764615706
C04,10,0.0003484077764615706
S12,10,0.0003484077764615706
C13,10,0.0003484077764615706
M06,10,0.0003484077764615706
T81,10,0.0003484077764615706
I05,10,0.0003484077764615706
S27,10,0.0003484077764615706
K71,9,0.00031356699881541356
K51,9,0.00031356699881541356
N11,9,0.00031356699881541356
K50,9,0.00031356699881541356
K43,9,0.00031356699881541356
I85,9,0.00031356699881541356
K22,9,0.00031356699881541356
D41,9,0.00031356699881541356
L02,9,0.00031356699881541356
C68,9,0.00031356699881541356
J42,9,0.00031356699881541356
C01,9,0.00031356699881541356
J22,8,0.0002787262211692565
J13,8,0.0002787262211692565
A40,8,0.0002787262211692565
D69,8,0.0002787262211692565
C84,8,0.0002787262211692565
M86,8,0.0002787262211692565
C06,8,0.0002787262211692565
I36,8,0.0002787262211692565
R64,8,0.0002787262211692565
T42,8,0.0002787262211692565
I44,8,0.0002787262211692565
T84,8,0.0002787262211692565
T07,8,0.0002787262211692565
D43,8,0.0002787262211692565
R57,7,0.00024388544352309943
J11,7,0.00024388544352309943
T69,7,0.00024388544352309943
Q90,7,0.00024388544352309943
S02,7,0.00024388544352309943
J40,7,0.00024388544352309943
T40,7,0.00024388544352309943
K27,7,0.00024388544352309943
J06,7,0.00024388544352309943
U10,7,0.00024388544352309943
C81,7,0.00024388544352309943
G10,7,0.00024388544352309943
C07,7,0.00024388544352309943
C10,7,0.00024388544352309943
G80,7,0.00024388544352309943
I06,7,0.00024388544352309943
C93,6,0.00020904466587694237
E85,6,0.00020904466587694237
J21,6,0.00020904466587694237
E64,6,0.00020904466587694237
K30,6,0.00020904466587694237
E03,6,0.00020904466587694237
D50,6,0.00020904466587694237
D45,6,0.00020904466587694237
D32,6,0.00020904466587694237
I77,6,0.00020904466587694237
F50,6,0.00020904466587694237
C03,6,0.00020904466587694237
T90,6,0.00020904466587694237
A48,6,0.00020904466587694237
T68,6,0.00020904466587694237
C69,6,0.00020904466587694237
C41,6,0.00020904466587694237
C11,6,0.00020904466587694237
T14,6,0.00020904466587694237
M54,5,0.0001742038882307853
J70,5,0.0001742038882307853
J80,5,0.0001742038882307853
T50,5,0.0001742038882307853
K66,5,0.0001742038882307853
D86,5,0.0001742038882307853
M31,5,0.0001742038882307853
C08,5,0.0001742038882307853
K82,5,0.0001742038882307853
D39,5,0.0001742038882307853
L97,5,0.0001742038882307853
C96,5,0.0001742038882307853
C74,5,0.0001742038882307853
I07,5,0.0001742038882307853
A02,5,0.0001742038882307853
G82,5,0.0001742038882307853
I72,5,0.0001742038882307853
J85,4,0.00013936311058462825
K62,4,0.00013936311058462825
E83,4,0.00013936311058462825
D62,4,0.00013936311058462825
I31,4,0.00013936311058462825
N15,4,0.00013936311058462825
I45,4,0.00013936311058462825
G00,4,0.00013936311058462825
J81,4,0.00013936311058462825
B37,4,0.00013936311058462825
T45,4,0.00013936311058462825
S82,4,0.00013936311058462825
K20,4,0.00013936311058462825
E05,4,0.00013936311058462825
K29,4,0.00013936311058462825
K45,4,0.00013936311058462825
Q25,4,0.00013936311058462825
N12,4,0.00013936311058462825
T38,4,0.00013936311058462825
D33,4,0.00013936311058462825
I89,4,0.00013936311058462825
C31,4,0.00013936311058462825
E88,4,0.00013936311058462825
C05,4,0.00013936311058462825
I30,4,0.00013936311058462825
G11,3,0.00010452233293847119
K42,3,0.00010452233293847119
T04,3,0.00010452233293847119
T30,3,0.00010452233293847119
