icd,pre_pct,post_pct,diff
U07,0.0,0.07394568884479731,0.07394568884479731
I50,0.04099910644832435,0.06482567213975231,0.023826565691427957
E11,0.024767389953138704,0.03858015094105131,0.013812760987912603
G30,0.017742606035906633,0.027638299296856638,0.009895693260950005
R99,0.008237719681174125,0.01603636351309459,0.007798643831920464
I11,0.013764245659621283,0.021559152983227234,0.007794907323605951
I10,0.014381302179261177,0.021030653309242215,0.006649351129981038
I48,0.00893001329814424,0.01440366080748369,0.005473647509339449
F01,0.010651227658057903,0.014615599112254454,0.003964371454196551
R54,0.0013097070499992155,0.0036201116710570173,0.002310404621057802
J12,0.0001680010697198711,0.0021239746187100427,0.0019559735489901716
A49,0.0006462640335924087,0.0024350915303447893,0.0017888274967523805
A41,0.01099377940822069,0.012690609163253737,0.001696829755033047
G20,0.002191419871918335,0.0038534248538311436,0.0016620049819128088
J44,0.020106444996324968,0.021763371717882434,0.001656926721557466
N17,0.00340510335639398,0.004962124125188531,0.0015570207687945507
C25,0.01862143500709154,0.020060323349715185,0.001438888342623644
K70,0.0070911708638713876,0.008426265954713267,0.0013350950908418797
F03,0.0020093153835043084,0.0032648421131387857,0.0012555267296344773
J18,0.022507115624985263,0.02364532900778255,0.001138213382797286
J45,0.0014589332181112913,0.002428118939725497,0.0009691857216142057
U10,0.0,0.0009311568818290492,0.0009311568818290492
E86,0.0016827625557526889,0.0024975791648116532,0.0008148166090589644
N39,0.0028088184538334247,0.003609405791180813,0.0008005873373473885
T78,7.95316026242786e-05,0.000816380291695154,0.0007368486890708755
R09,0.0006496404262070953,0.0013134479446690196,0.0006638075184619243
N18,0.0045831406944278315,0.005246781208859439,0.0006636405144316076
K56,0.0028820515542287385,0.003497498252519164,0.0006154466982904254
I35,0.004579553983365176,0.005193894829127768,0.0006143408457625925
J10,0.000624229259295323,0.0011924809668420284,0.0005682517075467054
N19,0.00036091712876705934,0.0008934423881622459,0.0005325252593951866
J69,0.00036325859694211644,0.0008798233179220958,0.0005165647209799794
