icd,vacc_pct,unvacc_pct,diff
I50,0.0743333100020998,0.030512784533298653,0.04382052546880115
E11,0.04957887123492219,0.01748012416620749,0.0320987470687147
U07,0.03763327967149623,0.009278241138441215,0.028355038533055016
G30,0.04304612584867362,0.015784303995016923,0.0272618218536567
I11,0.025897669209771122,0.012187317113238349,0.013710352096532773
F01,0.019761554793401928,0.006288737769046747,0.01347281702435518
I10,0.023494552156972538,0.010127006834617319,0.013367545322355219
I48,0.01917827395534402,0.006843173425419848,0.01233510052992417
A41,0.01579524509460815,0.00678328068476226,0.00901196440984589
R99,0.011922260329903641,0.004163401086283193,0.007758859243620448
J44,0.020274841930892885,0.012562074547638686,0.0077127673832542
C34,0.019248267655910967,0.011981970573840905,0.007266297082070062
C25,0.01733510650708103,0.010832029953215213,0.006503076553865816
G20,0.005272858776043489,0.0018772096143249745,0.0033956491617185146
N17,0.006369426751592357,0.003018594129142439,0.003350832622449918
I35,0.006836051422038683,0.0036722806128909715,0.0031637708091477113
F03,0.00431627820162852,0.0012509026691627679,0.0030653755324657524
N39,0.0048762278061641115,0.0020688663844292566,0.002807361421734855
I69,0.010149086582207601,0.0074130100722477575,0.002736076509959844
I13,0.0038263222976598773,0.0013741105928012348,0.0024522117048586425
A49,0.002939735423811857,0.0005339010024333565,0.0024058344213785006
S06,0.005529502344788969,0.0032547426494495,0.0022747596953394686
I61,0.012085578964559857,0.009870323660370514,0.002215255304189343
E86,0.002963066657334173,0.000994219494915962,0.001968847162418211
C80,0.00837591283451156,0.006499217971929128,0.0018766948625824316
J45,0.0026130981544994283,0.0010489785720886138,0.0015641195824108146
I71,0.004199622034016939,0.002648970358227038,0.0015506516757899007
J10,0.001796504981218357,0.0002583943954084514,0.0015381105858099057
K56,0.0044329343692401015,0.0029347442922218153,0.0014981900770182862
C90,0.0034763537948251325,0.002162983548319752,0.0013133702465053807
J84,0.0021931359510977346,0.0010079092642091248,0.0011852266868886097
J18,0.02685424978418609,0.02567173986700389,0.0011825099171822
C50,0.01992487342805814,0.018753272710471648,0.001171600717586492
C92,0.002939735423811857,0.0018874769412948469,0.00105225848251701
I12,0.002076479783486153,0.0010592458990584862,0.001017233884427667
C71,0.0028464104897225916,0.001892610604779783,0.0009537998849428087
A46,0.0011198992090711837,0.00021903630869060778,0.000900862900380576
A04,0.002076479783486153,0.00119100992850518,0.0008854698549809732
C43,0.002426448286320898,0.0015606336994205806,0.0008658145869003173
