t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.0023950875226131933,0.00484543589064672,dose1,0.4942976392984994
1,0.004249957064884768,0.00956764243243779,dose1,0.44420107612212445
2,0.006231005394176442,0.014793784423869586,dose1,0.42119076601532746
3,0.007877111263387028,0.02081178445938087,dose1,0.3784928331533793
4,0.009647773196886198,0.030369619216415514,dose1,0.3176784380409243
5,0.01206655955777073,0.04287970842909932,dose1,0.28140488822215576
6,0.01374904893533596,0.05145858586354815,dose1,0.2671866842887383
7,0.015563257671450259,0.05926480128744391,dose1,0.2626054138898286
8,0.0175457390860652,0.06828485621053348,dose1,0.2569491986878004
9,0.019132598036476236,0.0760812517732149,dose1,0.2514758575904579
10,0.02105039677795669,0.08419790026441692,dose1,0.2500109469666055
11,0.023248154738461688,0.09243905829838708,dose1,0.2514970962076085
12,0.02512471973880837,0.10146745124294027,dose1,0.24761358870053257
13,0.027326547234819955,0.11044805956033843,dose1,0.24741536739849995
14,0.029260161548254695,0.12099032052976068,dose1,0.24183886297594828
15,0.030874004076427607,0.13444938415426477,dose1,0.2296329155422066
16,0.033202737637202315,0.14744504823938548,dose1,0.2251872004753295
17,0.036050375841826736,0.16480482428497265,dose1,0.2187458771186904
18,0.038416661957086345,0.18238105648686276,dose1,0.2106395406237979
19,0.041123706903671786,0.1977546847898683,dose1,0.20795313621602127
20,0.043731943709347784,0.2159274407632503,dose1,0.20253073696684223
21,0.04653151627336937,0.23352916587599915,dose1,0.19925355404162975
22,0.04905239958323941,0.2520434820015597,dose1,0.19461879828632606
23,0.051145108909883254,0.2730151310934924,dose1,0.18733433822824122
24,0.0534251451723041,0.29070860715536007,dose1,0.18377558784686737
0,0.0005253236334947866,0.00484543589064672,dose2,0.10841617663344123
1,0.0012040645162178214,0.00956764243243779,dose2,0.12584756637745542
2,0.0019559179433464922,0.014793784423869586,dose2,0.13221214309831572
3,0.0029045775277746063,0.02081178445938087,dose2,0.13956407886618344
4,0.00397115561043097,0.030369619216415514,dose2,0.13076079690040052
5,0.0051438863322788644,0.04287970842909932,dose2,0.11996085142846084
6,0.0060635635190195054,0.05145858586354815,dose2,0.1178338544899061
7,0.007033321992615335,0.05926480128744391,dose2,0.11867620981944925
8,0.008076310374587666,0.06828485621053348,dose2,0.11827381388296102
9,0.009099634217248532,0.0760812517732149,dose2,0.11960416009259901
10,0.010119365073872255,0.08419790026441692,dose2,0.12018548018386438
11,0.011068732629360457,0.09243905829838708,dose2,0.11974086314803845
12,0.012221446647872019,0.10146745124294027,dose2,0.120446965978185
13,0.013280399784858218,0.11044805956033843,dose2,0.12024113268810137
14,0.014517208160248124,0.12099032052976068,dose2,0.11998652533991144
15,0.01575621919998217,0.13444938415426477,dose2,0.11719071306259449
16,0.016960416829765346,0.14744504823938548,dose2,0.11502873126070744
17,0.018383388751319427,0.16480482428497265,dose2,0.11154642366184743
18,0.019929613160163236,0.18238105648686276,dose2,0.10927457897190944
19,0.021029957496330673,0.1977546847898683,dose2,0.10634366269790525
20,0.022457158209878786,0.2159274407632503,dose2,0.10400326206986135
21,0.023751663085389486,0.23352916587599915,dose2,0.10170748050331149
22,0.024968138042922777,0.2520434820015597,dose2,0.0990628198140399
23,0.026153561455591858,0.2730151310934924,dose2,0.0957952819345384
24,0.02744244603769086,0.29070860715536007,dose2,0.09439846417388911
0,0.0,0.00484543589064672,dose3plus,0.0
1,0.0,0.00956764243243779,dose3plus,0.0
2,0.0,0.014793784423869586,dose3plus,0.0
3,0.0,0.02081178445938087,dose3plus,0.0
4,0.0,0.030369619216415514,dose3plus,0.0
5,0.0,0.04287970842909932,dose3plus,0.0
6,0.0,0.05145858586354815,dose3plus,0.0
7,0.0,0.05926480128744391,dose3plus,0.0
8,0.0,0.06828485621053348,dose3plus,0.0
9,0.0,0.0760812517732149,dose3plus,0.0
10,0.0,0.08419790026441692,dose3plus,0.0
11,0.0,0.09243905829838708,dose3plus,0.0
12,0.0,0.10146745124294027,dose3plus,0.0
13,0.0,0.11044805956033843,dose3plus,0.0
14,0.0,0.12099032052976068,dose3plus,0.0
15,0.0,0.13444938415426477,dose3plus,0.0
16,0.0,0.14744504823938548,dose3plus,0.0
17,0.0,0.16480482428497265,dose3plus,0.0
18,0.0,0.18238105648686276,dose3plus,0.0
19,0.0,0.1977546847898683,dose3plus,0.0
20,0.0,0.2159274407632503,dose3plus,0.0
21,0.0,0.23352916587599915,dose3plus,0.0
22,0.0,0.2520434820015597,dose3plus,0.0
23,0.0,0.2730151310934924,dose3plus,0.0
24,0.0,0.29070860715536007,dose3plus,0.0
