n_requested,pair,n_boot,point_iter0,boot_mean,boot_median,boot_sd,pct_ci_low,pct_ci_high,basic_ci_low,basic_ci_high,bc_ci_low,bc_ci_high,point_rank_le,point_percentile,boot_min,boot_max
25,1 vs 0,24,0.9877440965278793,1.06294775716016,1.0661041271646474,0.06481197905006812,0.9639186384898322,1.1782493577296635,0.7972388353260951,1.0115695545659265,0.9435888748198644,1.0003363337927487,2,0.08333333333333333,0.9435879435134931,1.200032265167116
25,2 vs 0,24,1.223405503745367,1.280048514647689,1.272626090285067,0.053215607426308445,1.1996763462484388,1.395168053873045,1.051642953617689,1.2471346612422953,1.1920757810186373,1.2611584447036446,3,0.125,1.192072681436364,1.397975315174449
25,2 vs 1,24,1.238585487927375,1.2074802436178051,1.205127941445987,0.07294085134946364,1.1028462977439855,1.3402842297163708,1.1368867461383791,1.3743246781107645,1.1402753195155548,1.3582359886791957,17,0.7083333333333334,1.096960439698738,1.359076207703267
100,1 vs 0,99,0.9877440965278793,1.057521896836801,1.057078573053702,0.058856820775295846,0.947687766842184,1.1597346730121607,0.8157535200435979,1.0278004262135747,0.9254835694688203,1.043214468552359,13,0.13131313131313133,0.9254739436716976,1.275544245013864
100,2 vs 0,99,1.223405503745367,1.289817749602189,1.288468040447334,0.043771209274256394,1.2076942513054902,1.374669494002004,1.07214151348873,1.2391167561852439,1.1920732901272195,1.246959348839438,7,0.0707070707070707,1.192072681436364,1.397975315174449
100,2 vs 1,99,1.238585487927375,1.2227412408815308,1.220895742420403,0.06898468667663617,1.1051755178029292,1.357410590380815,1.119760385473935,1.3719954580518208,1.1382268676125293,1.4020055170349444,62,0.6262626262626263,1.035686401542503,1.432898991752533
200,1 vs 0,199,0.9877440965278793,1.055903645514763,1.053854296778114,0.05840696470796576,0.9434942556856599,1.1727592173412402,0.8027289757145184,1.0319939373700988,0.9254753258108559,1.0402057654334422,26,0.1306532663316583,0.9254739436716976,1.275544245013864
200,2 vs 0,199,1.223405503745367,1.2872487916754736,1.284769898453259,0.04461749389629657,1.2103712746844828,1.3748026005994132,1.072008406891321,1.2364397328062513,1.1815859554207804,1.2360401190410928,13,0.06532663316582915,1.181585305500365,1.40673179990826
200,2 vs 1,199,1.238585487927375,1.2220515268687695,1.222251990333216,0.06725860546479716,1.1025862035736904,1.3593470794149463,1.1178238964398037,1.3745847722810596,1.1312476420607882,1.4293191947735548,123,0.6180904522613065,1.035686401542503,1.432898991752533
400,1 vs 0,399,0.9877440965278793,1.0581735805640884,1.061151965271957,0.06363541183152263,0.9435240204497376,1.1858668252265019,0.7896213678292567,1.031964172606021,0.9061492673588305,1.05070044541026,60,0.15037593984962405,0.9060635053195306,1.275544245013864
400,2 vs 0,399,1.223405503745367,1.2853738266759656,1.283089477390462,0.04763188681207368,1.1932922599690607,1.377946993154955,1.068864014335779,1.2535187475216734,1.1655834708331676,1.2512847913135792,36,0.09022556390977443,1.165576461900966,1.434091657899104
400,2 vs 1,399,1.238585487927375,1.2182207840449752,1.217721382543297,0.07256655948852538,1.078297196250296,1.3592610534580698,1.1179099223966802,1.398873779604454,1.1196154970319887,1.4188238856261564,250,0.6265664160401002,1.025577221088233,1.432898991752533
