n_requested,pair,n_boot,point_iter0,boot_mean,boot_median,boot_sd,pct_ci_low,pct_ci_high,basic_ci_low,basic_ci_high,bc_ci_low,bc_ci_high,point_rank_le,point_percentile,boot_min,boot_max
25,2 vs 0,24,1.223405503745367,1.280048514647689,1.272626090285067,0.053215607426308445,1.1996763462484388,1.395168053873045,1.051642953617689,1.2471346612422953,1.1920757810186373,1.2611584447036446,3,0.125,1.192072681436364,1.397975315174449
100,2 vs 0,99,1.223405503745367,1.289817749602189,1.288468040447334,0.043771209274256394,1.2076942513054902,1.374669494002004,1.07214151348873,1.2391167561852439,1.1920732901272195,1.246959348839438,7,0.0707070707070707,1.192072681436364,1.397975315174449
200,2 vs 0,199,1.223405503745367,1.2872487916754736,1.284769898453259,0.04461749389629657,1.2103712746844828,1.3748026005994132,1.072008406891321,1.2364397328062513,1.1815859554207804,1.2360401190410928,13,0.06532663316582915,1.181585305500365,1.40673179990826
400,2 vs 0,399,1.223405503745367,1.2853738266759656,1.283089477390462,0.04763188681207368,1.1932922599690607,1.377946993154955,1.068864014335779,1.2535187475216734,1.1655834708331676,1.2512847913135792,36,0.09022556390977443,1.165576461900966,1.434091657899104
