Date,ISOweekDied,KCOR,MoE,MR_num,MR_adj_num,CMR_num,MR_den,MR_adj_den,CMR_den,Sheet,YearOfBirth,Dose_num,Dose_den
2022-07-25,2022-30,1.2153574896086228,0.034037543322014426,,,,,,,2021_24,0,2,0
2022-08-01,2022-31,1.2219715895217174,0.033859879439422785,,,,,,,2021_24,0,2,0
2022-08-08,2022-32,1.2204428717281304,0.0335172059087628,,,,,,,2021_24,0,2,0
2022-08-15,2022-33,1.2245711182282846,0.033340096746754165,,,,,,,2021_24,0,2,0
2022-08-22,2022-34,1.2229612256621767,0.03300300919542862,,,,,,,2021_24,0,2,0
2022-08-29,2022-35,1.2256743609880456,0.03280857343290576,,,,,,,2021_24,0,2,0
2022-09-05,2022-36,1.2236353480653706,0.03245504318068357,,,,,,,2021_24,0,2,0
2022-09-12,2022-37,1.2282106208395775,0.03232136383110848,,,,,,,2021_24,0,2,0
2022-09-19,2022-38,1.2303951852221648,0.03210815686967739,,,,,,,2021_24,0,2,0
2022-09-26,2022-39,1.2309795872711629,0.03184277675379259,,,,,,,2021_24,0,2,0
2022-10-03,2022-40,1.2278692544752072,0.031451695268854205,,,,,,,2021_24,0,2,0
2022-10-10,2022-41,1.22861968226316,0.031192492221682667,,,,,,,2021_24,0,2,0
2022-10-17,2022-42,1.234324786561762,0.031082226508015832,,,,,,,2021_24,0,2,0
2022-10-24,2022-43,1.2342572241835512,0.030829274641229785,,,,,,,2021_24,0,2,0
2022-10-31,2022-44,1.2362560125798663,0.03065205059353845,,,,,,,2021_24,0,2,0
2022-11-07,2022-45,1.2397049455946387,0.0305131517542371,,,,,,,2021_24,0,2,0
2022-11-14,2022-46,1.241461001175952,0.030335088289200094,,,,,,,2021_24,0,2,0
2022-11-21,2022-47,1.2455592085857712,0.03021459402487675,,,,,,,2021_24,0,2,0
2022-11-28,2022-48,1.2464920724353863,0.03001941456551248,,,,,,,2021_24,0,2,0
2022-12-05,2022-49,1.2466840985859775,0.02980512688102401,,,,,,,2021_24,0,2,0
2022-12-12,2022-50,1.2482572935900533,0.029590878585330906,,,,,,,2021_24,0,2,0
2022-12-19,2022-51,1.2538159008440248,0.029440683741615126,,,,,,,2021_24,0,2,0
2022-12-26,2022-52,1.2545956367619735,0.02915728256849101,,,,,,,2021_24,0,2,0
2023-01-02,2023-01,1.2568418515162318,0.028952703118420024,,,,,,,2021_24,0,2,0
2023-01-09,2023-02,1.2559811327301489,0.02868786360302564,,,,,,,2021_24,0,2,0
2023-01-16,2023-03,1.253405581325495,0.028389754117800065,,,,,,,2021_24,0,2,0
2023-01-23,2023-04,1.2566676980327645,0.028276045599530748,,,,,,,2021_24,0,2,0
2023-01-30,2023-05,1.2590007627668116,0.028120587290340143,,,,,,,2021_24,0,2,0
2023-02-06,2023-06,1.2598430508072493,0.027964069629219157,,,,,,,2021_24,0,2,0
2023-02-13,2023-07,1.2600710890503555,0.027787532000216743,,,,,,,2021_24,0,2,0
2023-02-20,2023-08,1.262929183662264,0.027665412689023585,,,,,,,2021_24,0,2,0
2023-02-27,2023-09,1.2631582304446096,0.027485967459977143,,,,,,,2021_24,0,2,0
2023-03-06,2023-10,1.2661325603382174,0.02738096598928573,,,,,,,2021_24,0,2,0
2023-03-13,2023-11,1.267508458929711,0.02724913742620555,,,,,,,2021_24,0,2,0
2023-03-20,2023-12,1.2692542241994764,0.027120631677506123,,,,,,,2021_24,0,2,0
2023-03-27,2023-13,1.269642210021314,0.026965981683047504,,,,,,,2021_24,0,2,0
2023-04-03,2023-14,1.2716452788608785,0.02686222515194122,,,,,,,2021_24,0,2,0
2023-04-10,2023-15,1.2687050488378901,0.02663184359623277,,,,,,,2021_24,0,2,0
2023-04-17,2023-16,1.2691430555759895,0.026490242940136646,,,,,,,2021_24,0,2,0
2023-04-24,2023-17,1.274174193567197,0.026459723645044696,,,,,,,2021_24,0,2,0
2023-05-01,2023-18,1.27410158500753,0.02631878151761392,,,,,,,2021_24,0,2,0
2023-05-08,2023-19,1.2766186309804473,0.026250807490268223,,,,,,,2021_24,0,2,0
2023-05-15,2023-20,1.278399352744989,0.026157240623879467,,,,,,,2021_24,0,2,0
2023-05-22,2023-21,1.2794236011130875,0.02604013271532913,,,,,,,2021_24,0,2,0
2023-05-29,2023-22,1.2778845131958307,0.025862913261233387,,,,,,,2021_24,0,2,0
2023-06-05,2023-23,1.278320275164298,0.025730660848476448,,,,,,,2021_24,0,2,0
2023-06-12,2023-24,1.2756416929602123,0.025541724051951948,,,,,,,2021_24,0,2,0
2023-06-19,2023-25,1.273174371525362,0.025346740269291894,,,,,,,2021_24,0,2,0
2023-06-26,2023-26,1.2712452002218535,0.0251751304977179,,,,,,,2021_24,0,2,0
2023-07-03,2023-27,1.2707026676674598,0.02503241791169421,,,,,,,2021_24,0,2,0
2023-07-10,2023-28,1.2725582478341975,0.02494307835801076,,,,,,,2021_24,0,2,0
2023-07-17,2023-29,1.275409557319623,0.024882432492158837,,,,,,,2021_24,0,2,0
2023-07-24,2023-30,1.2726518757397096,0.02471800759569016,,,,,,,2021_24,0,2,0
2023-07-31,2023-31,1.272751992241664,0.024608097056716325,,,,,,,2021_24,0,2,0
2023-08-07,2023-32,1.273150506061065,0.02450158119615693,,,,,,,2021_24,0,2,0
2023-08-14,2023-33,1.2699447922134386,0.02430657131233855,,,,,,,2021_24,0,2,0
2023-08-21,2023-34,1.274032460849354,0.024274143632883074,,,,,,,2021_24,0,2,0
2023-08-28,2023-35,1.2781037914829498,0.024258885656162157,,,,,,,2021_24,0,2,0
2023-09-04,2023-36,1.2781430757823686,0.024160847080020167,,,,,,,2021_24,0,2,0
2023-09-11,2023-37,1.2798918751232298,0.024085596359101295,,,,,,,2021_24,0,2,0
2023-09-18,2023-38,1.277895862419647,0.02392452190566927,,,,,,,2021_24,0,2,0
2023-09-25,2023-39,1.2757502289124096,0.023765972071100268,,,,,,,2021_24,0,2,0
2023-10-02,2023-40,1.2730743598876464,0.02358375547663904,,,,,,,2021_24,0,2,0
2023-10-09,2023-41,1.2722972341410368,0.02343989687628014,,,,,,,2021_24,0,2,0
2023-10-16,2023-42,1.2699205719815545,0.02326533518165328,,,,,,,2021_24,0,2,0
2023-10-23,2023-43,1.2692176918555766,0.02313021223584154,,,,,,,2021_24,0,2,0
2023-10-30,2023-44,1.2679648489208841,0.022991395569705267,,,,,,,2021_24,0,2,0
2023-11-06,2023-45,1.2667828323731951,0.022835150971292562,,,,,,,2021_24,0,2,0
2023-11-13,2023-46,1.2626712108584248,0.02263018507181452,,,,,,,2021_24,0,2,0
2023-11-20,2023-47,1.2595301006923352,0.02242874094664384,,,,,,,2021_24,0,2,0
2023-11-27,2023-48,1.2597799341564617,0.022318679331501667,,,,,,,2021_24,0,2,0
2023-12-04,2023-49,1.2565853066641808,0.0221155585144637,,,,,,,2021_24,0,2,0
2023-12-11,2023-50,1.255813926826985,0.021973532052024205,,,,,,,2021_24,0,2,0
2023-12-18,2023-51,1.2552576233622113,0.021843430718942982,,,,,,,2021_24,0,2,0
2023-12-25,2023-52,1.2503826568473693,0.02161690960826733,,,,,,,2021_24,0,2,0
2024-01-01,2024-01,1.2476099502670799,0.021448935475903482,,,,,,,2021_24,0,2,0
2024-01-08,2024-02,1.2479378907937362,0.0213456945730813,,,,,,,2021_24,0,2,0
2024-01-15,2024-03,1.2453333807031772,0.02118849089581184,,,,,,,2021_24,0,2,0
2024-01-22,2024-04,1.2447113150899536,0.021065410028939673,,,,,,,2021_24,0,2,0
2024-01-29,2024-05,1.242399061269455,0.020917597369706414,,,,,,,2021_24,0,2,0
2024-02-05,2024-06,1.242961512289211,0.020808287641605878,,,,,,,2021_24,0,2,0
2024-02-12,2024-07,1.2404218467810417,0.020658385561641027,,,,,,,2021_24,0,2,0
2024-02-19,2024-08,1.2411371575869936,0.02057536420493661,,,,,,,2021_24,0,2,0
2024-02-26,2024-09,1.2399334394545745,0.020465905384076923,,,,,,,2021_24,0,2,0
2024-03-04,2024-10,1.2398708380501686,0.02038317334409282,,,,,,,2021_24,0,2,0
2024-03-11,2024-11,1.239170651400974,0.02027860482508161,,,,,,,2021_24,0,2,0
2024-03-18,2024-12,1.2399247401157252,0.020214209202822662,,,,,,,2021_24,0,2,0
2024-03-25,2024-13,1.2410371448154562,0.020145034214888453,,,,,,,2021_24,0,2,0
2024-04-01,2024-14,1.2396965233876136,0.02003471292253205,,,,,,,2021_24,0,2,0
2024-04-08,2024-15,1.238477150364661,0.019934720385241484,,,,,,,2021_24,0,2,0
2024-04-15,2024-16,1.236070661263107,0.019805155046831294,,,,,,,2021_24,0,2,0
2024-04-22,2024-17,1.2358411622369794,0.019732426461469426,,,,,,,2021_24,0,2,0
2024-04-29,2024-18,1.2351997213059192,0.019646603578792582,,,,,,,2021_24,0,2,0
2024-05-06,2024-19,1.231117795869104,0.01949748971432369,,,,,,,2021_24,0,2,0
2024-05-13,2024-20,1.2303274738685759,0.019409516419331144,,,,,,,2021_24,0,2,0
2024-05-20,2024-21,1.2274419188821684,0.019286322919717724,,,,,,,2021_24,0,2,0
2024-05-27,2024-22,1.2262328444858668,0.019187509891207356,,,,,,,2021_24,0,2,0
2024-06-03,2024-23,1.223430114400663,0.019065414505244065,,,,,,,2021_24,0,2,0
2024-06-10,2024-24,1.2246988471121365,0.019029543571877836,,,,,,,2021_24,0,2,0
2024-06-17,2024-25,1.224969583564808,0.01896050953270336,,,,,,,2021_24,0,2,0
2024-06-24,2024-26,1.2250753820191895,0.01888577254476612,,,,,,,2021_24,0,2,0
2024-07-01,2024-27,1.2237331862018757,0.018803715938940528,,,,,,,2021_24,0,2,0
2024-07-08,2024-28,1.223571452077493,0.0187428008881236,,,,,,,2021_24,0,2,0
2024-07-15,2024-29,1.2208624963095298,0.0186354561879641,,,,,,,2021_24,0,2,0
2024-07-22,2024-30,1.221453702071733,0.018579021850206812,,,,,,,2021_24,0,2,0
2024-07-29,2024-31,1.2184979628426964,0.018471942570333577,,,,,,,2021_24,0,2,0
2024-08-05,2024-32,1.2157392527673934,0.018365211241033366,,,,,,,2021_24,0,2,0
2024-08-12,2024-33,1.2108424759110412,0.018224452431209907,,,,,,,2021_24,0,2,0
2024-08-19,2024-34,1.210365382770221,0.01816505244979919,,,,,,,2021_24,0,2,0
2024-08-26,2024-35,1.2100188202016204,0.01810353496864312,,,,,,,2021_24,0,2,0
2024-09-02,2024-36,1.2091046820305054,0.018059037607323834,,,,,,,2021_24,0,2,0
2024-09-09,2024-37,1.20837329309522,0.01801291607471301,,,,,,,2021_24,0,2,0
2024-09-16,2024-38,1.2062567917719884,0.017950254218757473,,,,,,,2021_24,0,2,0
2024-09-23,2024-39,1.2058004738945722,0.0179186731058028,,,,,,,2021_24,0,2,0
2024-09-30,2024-40,1.205212085967767,0.017900621681291737,,,,,,,2021_24,0,2,0
2024-10-07,2024-41,1.2046441041330278,0.017889137729737454,,,,,,,2021_24,0,2,0
2021-06-14,2021-24,0.8228900234282919,0.2222127203942329,0.0005084099478879804,0.0005084099478879804,0.0005084099478879804,0.002183092980638993,0.002183092980638993,0.002183092980638993,2021_24,1940,2,0
2021-06-21,2021-25,0.9011011705764597,0.17120770263076912,0.0005009614606494773,0.0004971745883846411,0.0005027936965415534,0.001804592928550896,0.0017596211371699703,0.00197158843106019,2021_24,1940,2,0
2021-06-28,2021-26,0.9524125480866177,0.14994753858004695,0.0004626577373723354,0.00046032323906370476,0.0004886440057540991,0.0015198784097272219,0.0014945213554401107,0.0018128733203945824,2021_24,1940,2,0
2021-07-05,2021-27,0.9143844397483664,0.12390486358413012,0.0004358710284627639,0.00043476996937300266,0.0004751852564856433,0.0019227687870533568,0.0019066619649860622,0.001836259776433043,2021_24,1940,2,0
2021-07-12,2021-28,1.0,0.11867552687632665,0.0006598800639041747,0.0006598800639041747,0.0005120899248739799,0.0017017177717129556,0.0017017177717129556,0.001809448479815833,2021_24,1940,2,0
2021-07-19,2021-29,1.0295772436387003,0.11073158796848337,0.0005753628840740326,0.0005768199960597903,0.0005228639929589667,0.0017046185513958576,0.0017190185804540463,0.0017944435090292716,2021_24,1940,2,0
2021-07-26,2021-30,1.1102709234587766,0.10873363381130183,0.0007727437813444196,0.0007766626993947501,0.0005590619506155532,0.0016592029382389896,0.0016873540909977745,0.001779225358464856,2021_24,1940,2,0
2021-08-02,2021-31,1.1445871649616515,0.10445730639178231,0.0006418733421494251,0.0006467623538039043,0.0005700014845423205,0.001581282775312626,0.0016216966562233675,0.0017596532900198086,2021_24,1940,2,0
2021-08-09,2021-32,1.179323699284786,0.10104180782406186,0.0006732391314441367,0.0006800850206083857,0.0005822031880976117,0.0015676260969342405,0.0016212721632612715,0.001744381788053599,2021_24,1940,2,0
2021-08-16,2021-33,1.2074129651604968,0.09892306737422261,0.0005459233848798582,0.0005528712678985017,0.0005792782032672661,0.0011977986403366786,0.001249253622369592,0.0016952405928256082,2021_24,1940,2,0
2021-08-23,2021-34,1.2202783167302318,0.09534185019711608,0.0005888346110786133,0.0005978388265866349,0.0005809604040189756,0.001474735033870288,0.0015510798624227154,0.0016822387394625348,2021_24,1940,2,0
2021-08-30,2021-35,1.245488442897745,0.09304209085261252,0.000655076845553036,0.000666778366849729,0.0005880881197663179,0.0014282236468392438,0.001514850385003953,0.0016684096562451197,2021_24,1940,2,0
2021-09-06,2021-36,1.2431743540553197,0.08868637388774679,0.0006399913116331027,0.0006530730985904119,0.00059306860181667,0.001771579956766948,0.0018949058683846187,0.0016856712531884718,2021_24,1940,2,0
2021-09-13,2021-37,1.24401280489639,0.08529336896470122,0.000609351409464741,0.0006233816312658276,0.0005952251480519983,0.0016281871763977986,0.0017562428650315961,0.0016906605218243334,2021_24,1940,2,0
2021-09-20,2021-38,1.2572148518956363,0.08297349657910262,0.0006835110721026509,0.0007010196629171015,0.0006022477518994465,0.0015819172184350434,0.0017207483288785626,0.0016926441917893152,2021_24,1940,2,0
2021-09-27,2021-39,1.2636670151071523,0.0805931028038629,0.0006373436759185133,0.0006553250828042887,0.0006055495747847409,0.001551755116708319,0.0017021982892491529,0.001693234250270031,2021_24,1940,2,0
2021-10-04,2021-40,1.2711242062582457,0.07849274663094553,0.0006494163030713113,0.0006694293691967008,0.0006092884249193721,0.001537807152439224,0.0017011483977327235,0.0016936939222567174,2021_24,1940,2,0
2021-10-11,2021-41,1.2743871750213056,0.07594917090349355,0.0007393370092650601,0.0007640512414399366,0.0006178405035852666,0.0018351028968410013,0.0020471709259926936,0.0017130694659498959,2021_24,1940,2,0
2021-10-18,2021-42,1.2801236776304004,0.07380954910403721,0.000751566412380207,0.0007786564170765184,0.0006262558213212604,0.001789231779382797,0.0020128603630166007,0.001728621204094923,2021_24,1940,2,0
2021-10-25,2021-43,1.2784513144524268,0.07066324292634256,0.000982057957007685,0.0010200326829860327,0.0006458230763228633,0.0025324365657529067,0.0028730221918129946,0.0017849635649307327,2021_24,1940,2,0
2021-11-01,2021-44,1.2715131011174774,0.0677287038056705,0.0008933029584321558,0.0009301954381077066,0.000659272355477915,0.0024399492226783387,0.0027914802123928145,0.0018320782405346597,2021_24,1940,2,0
