Date,Dose,ISOweek,Dead,Alive,MR,MR_adj,Cum_MR,Cumu_Adj_Deaths,Cumu_Person_Time
2022-04-11,0,2022-15,81.0,57278,0.0014141555221900207,0.0019632618459004946,0.0024663068127281193,6528.24014408695,2646970.0
2022-04-18,0,2022-16,89.0,57197,0.0015560256656817666,0.002178467921772372,0.002460218608469286,6652.841973808564,2704167.0
2022-04-25,0,2022-17,92.0,57108,0.0016109826994466624,0.0022744618146581116,0.002456376832847167,6782.73193912006,2761275.0
2022-05-02,0,2022-18,84.0,57016,0.001473270660867125,0.0020976048285923986,0.002449118624026789,6902.328976027084,2818291.0
2022-05-09,0,2022-19,96.0,56932,0.0016862221597695496,0.0024210808159676263,0.002448563450223427,7040.165949041753,2875223.0
2022-05-16,0,2022-20,87.0,56836,0.001530719966218594,0.0022163768304805935,0.002444062668104205,7166.135942578948,2932059.0
2022-05-23,0,2022-21,77.0,56749,0.0013568521031207597,0.0019812246690616223,0.0024352746852000953,7278.568461323526,2988808.0
2022-05-30,0,2022-22,86.0,56672,0.0015175042348955392,0.002234521238422132,0.0024315389524631205,7405.203248947385,3045480.0
2022-06-06,0,2022-23,81.0,56586,0.0014314494751351925,0.002125611833078714,0.0024259584161439433,7525.4831201339775,3102066.0
2022-06-13,0,2022-24,79.0,56505,0.0013981063622688257,0.0020936375929231613,0.0024200133897012608,7643.784112322101,3158571.0
2022-06-20,0,2022-25,76.0,56426,0.0013468968206146103,0.00203399079828157,0.0024132383567094886,7758.554077105936,3214997.0
2022-06-27,0,2022-26,87.0,56350,0.001543921916592724,0.0023512204405826704,0.002412170078237732,7891.04534893277,3271347.0
2022-07-04,0,2022-27,71.0,56263,0.0012619305760446474,0.0019380136875765152,0.0024041530747403953,8000.0838130368875,3327610.0
2022-07-11,0,2022-28,97.0,56192,0.0017262243735763098,0.002673449478665852,0.0024086250573000663,8150.310286142078,3383802.0
2022-07-18,0,2022-29,100.0,56095,0.0017826900793297086,0.0027842225401714512,0.0024147499909250177,8306.491249532995,3439897.0
2022-07-25,0,2022-30,90.0,55995,0.0016072863648540047,0.0025314812684691587,0.0024166197191334646,8448.241543160926,3495892.0
2022-08-01,0,2022-31,100.0,55905,0.0017887487702352204,0.0028410846013342058,0.0024233007623460784,8607.072377798515,3551797.0
2022-08-08,0,2022-32,97.0,55805,0.0017381955021951439,0.002784112628196657,0.0024288820615508667,8762.43978301503,3607602.0
2022-08-15,0,2022-33,85.0,55708,0.0015258131686651827,0.0024645798731680545,0.0024294249186089835,8899.736598589476,3663310.0
2022-08-22,0,2022-34,98.0,55623,0.0017618611006238426,0.0028698986906953283,0.0024360129567975604,9059.368973462022,3718933.0
2022-08-29,0,2022-35,83.0,55525,0.001494822152183701,0.0024554878217405893,0.002436299446109658,9195.709934764169,3774458.0
2022-09-05,0,2022-36,104.0,55442,0.0018758342051152556,0.0031073921945780555,0.002446014249149055,9367.989972815965,3829900.0
2022-09-12,0,2022-37,78.0,55338,0.0014095196790632116,0.0023546487089232005,0.0024447129167042936,9498.291523070357,3885238.0
2022-09-19,0,2022-38,89.0,55260,0.0016105682229460732,0.0027132353481452206,0.0024484785700713114,9648.224908408862,3940498.0
2022-09-26,0,2022-39,97.0,55171,0.0017581700531076108,0.0029869130418354564,0.0024559131118818815,9813.015887839965,3995669.0
2022-10-03,0,2022-40,117.0,55074,0.002124414424229219,0.0036396054152790947,0.0024720066211263085,10013.463516481046,4050743.0
2022-10-10,0,2022-41,100.0,54957,0.001819604417999527,0.0031437311907698043,0.002480998015328003,10186.233551532183,4105700.0
2022-10-17,0,2022-42,83.0,54857,0.0015130247735020144,0.0026361360524844563,0.00248304351243435,10330.844066963322,4160557.0
2022-10-24,0,2022-43,94.0,54774,0.001716142695439442,0.003015286186587257,0.0024899594723516265,10496.003352547454,4215331.0
2022-10-31,0,2022-44,82.0,54680,0.0014996342355523043,0.002657136400071694,0.0024921002711476327,10641.295570903374,4270011.0
2022-11-07,0,2022-45,79.0,54598,0.0014469394483314407,0.0025854266420631453,0.0024932785125098564,10782.454694706737,4324609.0
2022-11-14,0,2022-46,82.0,54519,0.001504062803793173,0.002710199083481686,0.0024959791169701082,10930.212038539075,4379128.0
2022-11-21,0,2022-47,78.0,54437,0.001432848981391333,0.0026036883664224113,0.0024973016121658327,11071.949022142011,4433565.0
2022-11-28,0,2022-48,84.0,54359,0.001545282289961184,0.0028317164972253665,0.002501352139478005,11225.878299214686,4487924.0
2022-12-05,0,2022-49,87.0,54275,0.0016029479502533395,0.0029622023659427498,0.002506858865634515,11386.651832626228,4542199.0
2022-12-12,0,2022-50,99.0,54188,0.0018269727614970105,0.003404714785917326,0.002517443922247086,11571.146517445517,4596387.0
2022-12-19,0,2022-51,105.0,54089,0.0019412449851171217,0.0036482313537706023,0.002530595943972104,11768.475703139615,4650476.0
2022-12-26,0,2022-52,125.0,53984,0.0023155008891523414,0.004388340692951598,0.0025519136919238154,12005.375887107914,4704460.0
2023-01-02,0,2023-01,105.0,53859,0.0019495348966746505,0.0037259734742555897,0.0025652027727560605,12206.053092457845,4758319.0
2023-01-09,0,2023-02,108.0,53754,0.00200915280723295,0.003872354193295732,0.0025798045083198578,12414.207619764264,4812073.0
2023-01-16,0,2023-03,111.0,53646,0.0020691197852589194,0.004021620624659727,0.0025957009600831365,12629.95147979476,4865719.0
2023-01-23,0,2023-04,77.0,53535,0.0014383113850751845,0.0028191731107081127,0.002598132951109359,12780.875912276519,4919254.0
