cohort,intercept,slope
dose0_unvaccinated,-6.1206160515859445,-0.07962993609883312
dose1,-7.195726941762804,-0.028716026399844368
dose2,-6.652588961310881,-0.011224800556368679
dose3,-5.166646306381271,0.003802682336799954
dose4,-3.571862243247758,0.03922071315327944
