cohort,intercept,slope
dose0_unvaccinated,-6.456421630276243,-0.03942068215529419
dose1,-7.312820358197764,-0.014431851331336972
dose2,-6.779309275068384,0.003956129002879041
dose3,-5.154548602889705,0.0025122606310325835
dose4,-3.571862243247758,0.03922071315327944
