t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.001671980955577517,0.0016755274092194157,dose1,0.9978833801104846
1,0.0029688040880181416,0.0032179665808501007,dose1,0.9225714476846094
2,0.003995239028029494,0.0046788745537459835,dose1,0.8538888959903725
3,0.004999451369073117,0.005800520981217978,dose1,0.8618969544976024
4,0.005648871439791167,0.006793084198458409,dose1,0.8315621113958124
5,0.006417921682947754,0.007658401668138099,dose1,0.8380236451700824
6,0.007080586403880948,0.00853712517094197,dose1,0.8293876757426413
7,0.007711418297510531,0.009390701664975614,dose1,0.8211759431620044
8,0.008337144028052577,0.010257121442392622,dose1,0.8128151815364489
9,0.008952824406200524,0.011180479848169654,dose1,0.8007549342227407
10,0.009455235699288383,0.011965139256554243,dose1,0.7902319810710752
11,0.010114634328133447,0.012938972656218552,dose1,0.7817185023952091
12,0.010676965852070012,0.013798188903702708,dose1,0.7737947295699859
0,0.0011653872295420275,0.0016755274092194157,dose2,0.6955345656741099
1,0.002077189978600889,0.0032179665808501007,dose2,0.6454976848785835
2,0.0028914483840012995,0.0046788745537459835,dose2,0.6179794628322273
3,0.0035419975377209024,0.005800520981217978,dose2,0.6106343807011846
4,0.0040864011564919235,0.006793084198458409,dose2,0.6015531438308566
5,0.0045835077837441465,0.007658401668138099,dose2,0.5984940437656606
6,0.005027551025852683,0.00853712517094197,dose2,0.5889044525639827
7,0.005464290957756725,0.009390701664975614,dose2,0.5818831384618405
8,0.005865979235131327,0.010257121442392622,dose2,0.5718933199245723
9,0.0062641068010234,0.011180479848169654,dose2,0.5602717312252585
10,0.006603459462174907,0.011965139256554243,dose2,0.5518915676644368
11,0.007029562516962199,0.012938972656218552,dose2,0.5432859859272104
12,0.007398597711029669,0.013798188903702708,dose2,0.5362006392381014
0,0.0009030757817994482,0.0016755274092194157,dose3,0.538980010885759
1,0.0018466704056595018,0.0032179665808501007,dose3,0.5738625180494566
2,0.0028272054566385397,0.0046788745537459835,dose3,0.6042490397120786
3,0.0037824287301984586,0.005800520981217978,dose3,0.652084311356486
4,0.004606011649059646,0.006793084198458409,dose3,0.6780442452673954
5,0.005323765126080337,0.007658401668138099,dose3,0.6951535524095187
6,0.006083474175962386,0.00853712517094197,dose3,0.712590486075602
7,0.0067928328404815875,0.009390701664975614,dose3,0.7233573253736061
8,0.007440533411978852,0.010257121442392622,dose3,0.7254017077834108
9,0.00810188620900864,0.011180479848169654,dose3,0.7246456608577803
10,0.008687230054193903,0.011965139256554243,dose3,0.726045043621969
11,0.009386698194880427,0.012938972656218552,dose3,0.7254593114580593
12,0.010009927070985237,0.013798188903702708,dose3,0.7254522416035083
0,0.0,0.0016755274092194157,dose4,0.0
1,0.003563026763165609,0.0032179665808501007,dose4,1.1072292618766486
2,0.014265182910033355,0.0046788745537459835,dose4,3.0488491929247314
3,0.014265182910033355,0.005800520981217978,dose4,2.4592933899842038
4,0.01785439714341772,0.006793084198458409,dose4,2.6283197174033543
5,0.01785439714341772,0.007658401668138099,dose4,2.331347703446731
6,0.01785439714341772,0.00853712517094197,dose4,2.091382846546259
7,0.02143129976596198,0.009390701664975614,dose4,2.2821830070070113
8,0.02143129976596198,0.010257121442392622,dose4,2.0894068461836803
9,0.025004385852417047,0.011180479848169654,dose4,2.236432263171071
10,0.028582123668579866,0.011965139256554243,dose4,2.3887832020454267
11,0.028582123668579866,0.012938972656218552,dose4,2.2089948271615
12,0.03215613961687503,0.013798188903702708,dose4,2.3304608915678457
0,0.0,0.0016755274092194157,dose5,0.0
1,0.0,0.0032179665808501007,dose5,0.0
2,0.0,0.0046788745537459835,dose5,0.0
3,0.039999999999998405,0.005800520981217978,dose5,6.895932300326474
4,0.039999999999998405,0.006793084198458409,dose5,5.888341558196419
5,0.039999999999998405,0.007658401668138099,dose5,5.223021947411141
6,0.039999999999998405,0.00853712517094197,dose5,4.685418005988948
7,0.039999999999998405,0.009390701664975614,dose5,4.259532612448587
8,0.039999999999998405,0.010257121442392622,dose5,3.8997295899002338
9,0.039999999999998405,0.011180479848169654,dose5,3.5776639768255656
10,0.039999999999998405,0.011965139256554243,dose5,3.3430450861442527
11,0.039999999999998405,0.012938972656218552,dose5,3.091435545903462
12,0.039999999999998405,0.013798188903702708,dose5,2.8989311768565207
0,0.0,0.0016755274092194157,dose6,0.0
1,0.0,0.0032179665808501007,dose6,0.0
2,0.0,0.0046788745537459835,dose6,0.0
3,0.0,0.005800520981217978,dose6,0.0
4,0.0,0.006793084198458409,dose6,0.0
5,0.0,0.007658401668138099,dose6,0.0
6,0.0,0.00853712517094197,dose6,0.0
7,0.0,0.009390701664975614,dose6,0.0
8,0.0,0.010257121442392622,dose6,0.0
9,0.0,0.011180479848169654,dose6,0.0
10,0.0,0.011965139256554243,dose6,0.0
11,0.0,0.012938972656218552,dose6,0.0
12,0.0,0.013798188903702708,dose6,0.0
