country,wave,r2_fit,fit_tier,week_start,week_end,n_weekly_observations,n_week_intervals,span_calendar_days,slope_ols_deaths_per_million_per_week,slope_secant_delta_over_n_minus_1,delta_cumulative
Costa Rica,2,0.9945570325191974,primary,2021-05-09,2021-06-27,8,7,49,35.49336904761905,34.774142857142856,243.41899999999998
Costa Rica,3,0.9981351525687407,primary,2021-07-04,2021-08-08,6,5,35,17.024371428571435,17.23800000000001,86.19000000000005
Costa Rica,4,0.9927118297363234,primary,2021-08-22,2021-10-31,11,10,70,36.69452727272727,33.7875,337.875
Costa Rica,5,0.992002042993086,primary,2022-01-30,2022-03-13,7,6,42,21.01342857142857,20.563666666666677,123.38200000000006
Croatia,1,0.9900005069395553,fallback≥0.99,2020-04-12,2020-05-10,5,4,28,4.3512,4.22325,16.893
Croatia,2,0.992721048982139,primary,2020-11-22,2021-01-17,9,8,56,111.23538333333333,105.06699999999998,840.5359999999998
Croatia,3,0.9927107289375422,primary,2021-03-28,2021-05-30,10,9,63,65.5911212121212,60.574444444444424,545.1699999999998
Croatia,4,0.9934595427279419,primary,2021-11-07,2022-03-06,18,17,119,86.22623323013416,86.48058823529412,1470.17
Cuba,1,0.9921611624182147,primary,2021-07-04,2021-10-17,16,15,105,44.87959558823529,40.386399999999995,605.7959999999999
Curacao,1,0.991061817363882,fallback≥0.99,2021-03-28,2021-04-25,5,4,28,100.3502,97.113,388.452
Curacao,2,0.9960995625405716,primary,2021-08-15,2021-09-12,5,4,28,28.594499999999993,28.324749999999995,113.29899999999998
Curacao,3,0.9949232559913008,primary,2021-12-12,2022-01-09,5,4,28,15.106500000000016,14.836750000000023,59.347000000000094
Cyprus,1,0.9941332144533683,primary,2020-12-13,2021-02-14,10,9,63,12.654957575757575,12.184555555555555,109.66099999999999
Cyprus,2,0.9960702980639531,primary,2021-08-01,2021-09-12,7,6,42,15.397678571428575,14.897,89.382
Cyprus,3,0.992703053925235,primary,2022-01-02,2022-03-20,12,11,77,20.518769230769234,19.25554545454545,211.81099999999998
Czechia,1,0.9917441274812657,fallback≥0.99,2020-04-12,2020-05-03,4,3,21,3.626,3.5916666666666663,10.774999999999999
Czechia,2,0.9939335555368013,primary,2020-11-01,2021-05-09,28,27,189,96.18429173508484,91.68674074074073,2475.542
Czechia,3,0.9936491223179329,primary,2021-11-07,2022-01-02,9,8,56,65.71906666666668,61.450625,491.605
Czechia,4,0.9976882987299796,primary,2022-02-06,2022-03-06,5,4,28,33.523,33.307500000000005,133.23000000000002
Denmark,1,0.9935169312123463,primary,2020-12-20,2021-02-07,8,7,49,30.53780952380953,28.79928571428571,201.59499999999997
Denmark,2,0.9924947285806418,primary,2022-01-30,2022-03-27,9,8,56,41.595416666666665,39.5145,316.116
