t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.001671980955577517,0.0016755274092194157,dose1,0.9978833801104846
1,0.0029688040880181416,0.0032179665808501007,dose1,0.9225714476846094
2,0.003995239028029494,0.0046788745537459835,dose1,0.8538888959903725
3,0.004999451369073117,0.005800520981217978,dose1,0.8618969544976024
4,0.005648871439791167,0.006793084198458409,dose1,0.8315621113958124
5,0.006417921682947754,0.007658401668138099,dose1,0.8380236451700824
6,0.007080586403880948,0.00853712517094197,dose1,0.8293876757426413
7,0.007711418297510531,0.009390701664975614,dose1,0.8211759431620044
8,0.008337144028052577,0.010257121442392622,dose1,0.8128151815364489
9,0.008952824406200524,0.011180479848169654,dose1,0.8007549342227407
10,0.009455235699288383,0.011965139256554243,dose1,0.7902319810710752
11,0.010114634328133447,0.012938972656218552,dose1,0.7817185023952091
12,0.010676965852070012,0.013798188903702708,dose1,0.7737947295699859
0,0.0011653872295420275,0.0016755274092194157,dose2,0.6955345656741099
1,0.002077189978600889,0.0032179665808501007,dose2,0.6454976848785835
2,0.0028914483840012995,0.0046788745537459835,dose2,0.6179794628322273
3,0.0035419975377209024,0.005800520981217978,dose2,0.6106343807011846
4,0.0040864011564919235,0.006793084198458409,dose2,0.6015531438308566
5,0.0045835077837441465,0.007658401668138099,dose2,0.5984940437656606
6,0.005027551025852683,0.00853712517094197,dose2,0.5889044525639827
7,0.005464290957756725,0.009390701664975614,dose2,0.5818831384618405
8,0.005865979235131327,0.010257121442392622,dose2,0.5718933199245723
9,0.0062641068010234,0.011180479848169654,dose2,0.5602717312252585
10,0.006603459462174907,0.011965139256554243,dose2,0.5518915676644368
11,0.007029562516962199,0.012938972656218552,dose2,0.5432859859272104
12,0.007398597711029669,0.013798188903702708,dose2,0.5362006392381014
0,0.0009029343083604315,0.0016755274092194157,dose3plus,0.5388955757173732
1,0.0018469019127667426,0.0032179665808501007,dose3plus,0.573934460097751
2,0.0028286873978487772,0.0046788745537459835,dose3plus,0.6045657699840483
3,0.0037843225629211846,0.005800520981217978,dose3plus,0.6524108049125875
4,0.004608331460030151,0.006793084198458409,dose3plus,0.678385741251015
5,0.005326178048839004,0.007658401668138099,dose3plus,0.6954686211226668
6,0.006086028712534747,0.00853712517094197,dose3plus,0.7128897128669294
7,0.006795846822241969,0.009390701664975614,dose3plus,0.7236782792136479
8,0.007443741853172007,0.010257121442392622,dose3plus,0.7257145091098709
9,0.00810557472076441,0.011180479848169654,dose3plus,0.7249755672486983
10,0.00869138597971172,0.011965139256554243,dose3plus,0.726392379781487
11,0.009391183723404006,0.012938972656218552,dose3plus,0.7258059795160582
12,0.01001493300227676,0.013798188903702708,dose3plus,0.7258150378607633
