cohort,intercept,slope
dose0_unvaccinated,-3.155947432409265,-0.018672847236145897
dose1,-3.6749378797816883,-0.05516403990090774
dose2,-4.343534218293739,-0.008347568064340142
dose3plus,2.294845520899915,-0.510825623766007
