config_id,enroll_year,enroll_month,quiet_t_min,quiet_t_max,max_fu_months,separate_doses,cohort,final_t,final_kcor,max_kcor,min_kcor,mean_kcor
2021-01_quiet3-10_fu12_grouped,2021,1,3,10,12,False,dose1,12,2.6591751216187904,2.6784747028456626,0.9287576449130044,2.2722870985153913
2021-01_quiet3-10_fu12_grouped,2021,1,3,10,12,False,dose2,12,0.7466276742236033,0.7466276742236033,0.12817888901945454,0.5626639522208641
2021-01_quiet3-10_fu12_separate,2021,1,3,10,12,True,dose1,12,2.6591751216187904,2.6784747028456626,0.9287576449130044,2.2722870985153913
2021-01_quiet3-10_fu12_separate,2021,1,3,10,12,True,dose2,12,0.7466276742236033,0.7466276742236033,0.12817888901945454,0.5626639522208641
2021-01_quiet3-10_fu18_grouped,2021,1,3,10,18,False,dose1,18,2.6723337792921367,2.693737939225993,0.9287576449130044,2.4024726811612696
2021-01_quiet3-10_fu18_grouped,2021,1,3,10,18,False,dose2,18,0.785836499476419,0.7912905391051508,0.12817888901945454,0.6322819081433227
2021-01_quiet3-10_fu18_separate,2021,1,3,10,18,True,dose1,18,2.6723337792921367,2.693737939225993,0.9287576449130044,2.4024726811612696
2021-01_quiet3-10_fu18_separate,2021,1,3,10,18,True,dose2,18,0.785836499476419,0.7912905391051508,0.12817888901945454,0.6322819081433227
2021-01_quiet3-10_fu24_grouped,2021,1,3,10,24,False,dose1,24,2.590585423391898,2.693737939225993,0.9287576449130044,2.4558261613628267
2021-01_quiet3-10_fu24_grouped,2021,1,3,10,24,False,dose2,24,0.7974209157318188,0.8090004630601527,0.12817888901945454,0.673574920087371
2021-01_quiet3-10_fu24_separate,2021,1,3,10,24,True,dose1,24,2.590585423391898,2.693737939225993,0.9287576449130044,2.4558261613628267
2021-01_quiet3-10_fu24_separate,2021,1,3,10,24,True,dose2,24,0.7974209157318188,0.8090004630601527,0.12817888901945454,0.673574920087371
2021-01_quiet6-15_fu12_grouped,2021,1,6,15,12,False,dose1,12,3.4356082222960382,3.4356082222960382,0.9287576449130044,2.617602817322248
2021-01_quiet6-15_fu12_grouped,2021,1,6,15,12,False,dose2,12,0.9787136827933938,0.9787136827933938,0.12817888901945454,0.6592865607198856
2021-01_quiet6-15_fu12_separate,2021,1,6,15,12,True,dose1,12,3.4356082222960382,3.4356082222960382,0.9287576449130044,2.617602817322248
2021-01_quiet6-15_fu12_separate,2021,1,6,15,12,True,dose2,12,0.9787136827933938,0.9787136827933938,0.12817888901945454,0.6592865607198856
2021-01_quiet6-15_fu18_grouped,2021,1,6,15,18,False,dose1,18,3.283663185638895,3.283663185638895,0.9287576449130044,2.7042551576327996
2021-01_quiet6-15_fu18_grouped,2021,1,6,15,18,False,dose2,18,0.8714240540688826,0.8714240540688826,0.12817888901945454,0.6724890412363486
2021-01_quiet6-15_fu18_separate,2021,1,6,15,18,True,dose1,18,3.283663185638895,3.283663185638895,0.9287576449130044,2.7042551576327996
2021-01_quiet6-15_fu18_separate,2021,1,6,15,18,True,dose2,18,0.8714240540688826,0.8714240540688826,0.12817888901945454,0.6724890412363486
2021-01_quiet6-15_fu24_grouped,2021,1,6,15,24,False,dose1,24,3.389385859801711,3.389385859801711,0.9287576449130044,2.8569045258824497
2021-01_quiet6-15_fu24_grouped,2021,1,6,15,24,False,dose2,24,0.9140499403428255,0.9162353373529347,0.12817888901945454,0.7292939787436755
2021-01_quiet6-15_fu24_separate,2021,1,6,15,24,True,dose1,24,3.389385859801711,3.389385859801711,0.9287576449130044,2.8569045258824497
2021-01_quiet6-15_fu24_separate,2021,1,6,15,24,True,dose2,24,0.9140499403428255,0.9162353373529347,0.12817888901945454,0.7292939787436755
2021-01_quiet9-18_fu12_grouped,2021,1,9,18,12,False,dose1,12,4.065571312122971,4.065571312122971,0.9287576449130044,2.899435792661593
2021-01_quiet9-18_fu12_grouped,2021,1,9,18,12,False,dose2,12,0.7318048913784116,0.7318048913784116,0.12817888901945454,0.5539268959683996
2021-01_quiet9-18_fu12_separate,2021,1,9,18,12,True,dose1,12,4.065571312122971,4.065571312122971,0.9287576449130044,2.899435792661593
2021-01_quiet9-18_fu12_separate,2021,1,9,18,12,True,dose2,12,0.7318048913784116,0.7318048913784116,0.12817888901945454,0.5539268959683996
2021-01_quiet9-18_fu18_grouped,2021,1,9,18,18,False,dose1,18,3.2783538672487964,3.2783538672487964,0.9287576449130044,2.73562013309459
2021-01_quiet9-18_fu18_grouped,2021,1,9,18,18,False,dose2,18,0.97539210058503,0.9780793272476358,0.12817888901945454,0.7347170575657597
2021-01_quiet9-18_fu18_separate,2021,1,9,18,18,True,dose1,18,3.2783538672487964,3.2783538672487964,0.9287576449130044,2.73562013309459
2021-01_quiet9-18_fu18_separate,2021,1,9,18,18,True,dose2,18,0.97539210058503,0.9780793272476358,0.12817888901945454,0.7347170575657597
2021-01_quiet9-18_fu24_grouped,2021,1,9,18,24,False,dose1,24,3.3213939263693955,3.3213939263693955,0.9287576449130044,2.8701477912461892
2021-01_quiet9-18_fu24_grouped,2021,1,9,18,24,False,dose2,24,1.0392847462902575,1.0475960230351717,0.12817888901945454,0.8074925595580311
2021-01_quiet9-18_fu24_separate,2021,1,9,18,24,True,dose1,24,3.3213939263693955,3.3213939263693955,0.9287576449130044,2.8701477912461892
2021-01_quiet9-18_fu24_separate,2021,1,9,18,24,True,dose2,24,1.0392847462902575,1.0475960230351717,0.12817888901945454,0.8074925595580311
2021-07_quiet3-10_fu12_grouped,2021,7,3,10,12,False,dose1,12,0.4663048801656592,0.7214518776800138,0.4663048801656592,0.5473005301292996
2021-07_quiet3-10_fu12_grouped,2021,7,3,10,12,False,dose2,12,0.681530786108614,0.8064761447201071,0.674582017462269,0.7135762554187792
2021-07_quiet3-10_fu12_grouped,2021,7,3,10,12,False,dose3plus,12,27.50664431264452,30.029640934713278,0.0,7.988328516674977
2021-07_quiet3-10_fu12_separate,2021,7,3,10,12,True,dose1,12,0.4663048801656592,0.7214518776800138,0.4663048801656592,0.5473005301292996
