cohort,intercept,slope
dose0_unvaccinated,-6.456421630276243,-0.03942068215529419
dose1,-7.312820358197764,-0.014431851331336972
dose2,-6.779309275068384,0.003956129002879041
dose3plus,-4.5057923578706385,-0.05842118561056649
