rel_week,event_0,event_1,event_2,event_3,event_4,mean_across_events
-6,0.00030328514763629624,0.00039387115054585986,0.00035131194744373267,0.0004395939404084821,0.00035263796616053015,0.00036814003043898015
-5,0.00034709526307701277,0.0004355733418392989,0.0003135885204974703,0.00040847114695974926,0.00039547968102565656,0.0003800415906798376
-4,0.0003379390225478217,0.00042503667114497103,0.000370475032822195,0.00041817295197413046,0.00040804285552801573,0.0003919333068034268
-3,0.0003354018657888771,0.0004225346444873984,0.00032597654321488617,0.00039927013963553313,0.0003723531894119302,0.000371107276507725
-2,0.0002798163555975206,0.00044821024549575544,0.00037614534905747177,0.0004253311994067175,0.000338001898329029,0.0003735010095772988
-1,0.00030642497562528604,0.0004712345539785085,0.00036275138806547935,0.0003927804766281978,0.00035467697484001584,0.0003775736738274975
0,0.000301211214080231,0.00044996581602979715,0.00040892042300245084,0.0004707031623066365,0.00038241392925480365,0.00040264290893478387
1,0.0002986473267082295,0.0004931695347543425,0.0004280520381237233,0.0004927648201408407,0.00037427372253196866,0.0004173814884518209
2,0.0003239631850360874,0.000401990322654373,0.0003767386897082579,0.0005530973451327434,0.00032882102465052406,0.0003969221134363972
3,0.00034399039483190954,0.0003604572965702757,0.0003890818481794494,0.0005452048617516244,0.0003773011222289789,0.00040320710471244763
4,0.0003693522650726946,0.00039556962025316455,0.00037973979686633293,0.0005263618416375458,0.00033320106679644455,0.00040084491812523645
5,0.0003043630240127806,0.0003674600033919385,0.00039887825665780723,0.0005170637889832584,0.00037203718712225777,0.0003919604520336085
6,0.0003749192328248436,0.00038375310537052375,0.00036917748071658437,0.0004707988388786776,0.0003472717034438008,0.000389184072246886
7,0.0003072298771080492,0.00036908321883671435,0.00038424930855491033,0.0005244211855204983,0.0004096738387269109,0.00039893148574941665
8,0.0003778359313988311,0.000318013868638712,0.00036266431953578966,0.0005055168464516553,0.00039876493637760823,0.0003925591804805192
