placebo_id,placebo_week_index,placebo_date,baseline_mortality_mean,post_mortality_mean,abs_diff,ratio
0,201,2024-11-11,0.0002797106674379079,0.00020621032428485582,-7.350034315305209e-05,0.7372272433286149
1,188,2024-08-12,0.000286030076562365,0.00028592654360258237,-1.0353295978263871e-07,0.999638034709402
2,197,2024-10-14,0.00028279657359365893,0.0002539671424686073,-2.8829431125051638e-05,0.8980559390847652
3,173,2024-04-29,0.00046964918607695966,0.00041458261391037944,-5.506657216658022e-05,0.8827495632930648
4,189,2024-08-19,0.00029884154807081713,0.000282111487027943,-1.673006104287411e-05,0.9440169509531869
