event_id,event_date,event_week_index,peak_rollout
0,2021-07-05,26,130666.0
1,2022-02-21,59,90929.0
2,2022-07-25,81,68331.0
3,2022-12-05,100,61234.0
4,2023-06-12,127,34784.0
