event_id,event_date,baseline_mortality_mean,post_mortality_mean,abs_diff,ratio
0,2021-07-05,0.0003207075309295057,0.00033398829291223024,1.3280761982724539e-05,1.041410820457608
1,2022-02-21,0.00042504521070265675,0.0004127966935580389,-1.2248517144617841e-05,0.9711830251554431
2,2022-07-25,0.0003474994786071512,0.0003934030932194409,4.590361461228969e-05,1.1320969308969346
3,2022-12-05,0.00041816787567692246,0.0005293572171656886,0.00011118934148876612,1.265896420926105
4,2023-06-12,0.00037330311809103236,0.0003533992340519791,-1.9903884039053268e-05,0.9466817096496912
