lag,r_raw,p_raw,n_raw,r_smooth,p_smooth,n_smooth
0,0.13207480519024312,0.049370356055954974,222,0.13543999238035723,0.043808690328584914,222
1,0.13622212937599662,0.043068660586595364,221,0.14002416699564835,0.037519757325927196,221
2,0.13626769858669446,0.04347782098039496,220,0.14000194147042463,0.03798977877481879,220
3,0.12902829053633844,0.056586164301608045,219,0.13525843941948495,0.0455667677262195,219
4,0.11827619578706712,0.08143700898760399,218,0.12819397006010264,0.05880027364155324,218
5,0.11778075035280779,0.08344677288366822,217,0.12045445098109885,0.07662576349739281,217
6,0.10716733722255767,0.11631776372789103,216,0.1127300015522074,0.09844410236116152,216
7,0.09693880666425317,0.15664265892899623,215,0.10547795519792126,0.12309822212359489,215
8,0.09454405435578898,0.1681882907287174,214,0.10047525310801046,0.14294076972629227,214
