cohort,intercept,slope
dose0_unvaccinated,-6.243754288294568,-0.04459985631791352
dose1,-6.40333298526667,-0.05091626336875028
dose2,-6.88451446314438,-0.033948828352133587
dose3,-6.251774925714918,-0.025081396614935282
dose4,-6.049611313269227,0.04556205591492958
