cohort,t,deaths,at_risk,hazard
dose0_unvaccinated,0,7277,4353336,0.0016715916253650074
dose0_unvaccinated,1,5788,4346059,0.0013317812758639493
dose0_unvaccinated,2,7007,4340271,0.0016144153210709653
dose0_unvaccinated,3,4959,4333264,0.0011444029258314288
dose0_unvaccinated,4,4035,4328305,0.0009322355979996789
dose0_unvaccinated,5,3698,4324270,0.0008551732431138666
dose0_unvaccinated,6,3705,4320572,0.0008575253461810149
dose0_unvaccinated,7,3720,4316867,0.00086173606923725
dose0_unvaccinated,8,3837,4313147,0.0008896056637995413
dose0_unvaccinated,9,4336,4309310,0.0010061935669515537
dose0_unvaccinated,10,5574,4304974,0.0012947813389813736
dose0_unvaccinated,11,6059,4299400,0.0014092664092664093
dose0_unvaccinated,12,4702,4293341,0.0010951843797173343
dose0_unvaccinated,13,4490,4288639,0.0010469521915927175
dose0_unvaccinated,14,4657,4284149,0.0010870303530526133
dose0_unvaccinated,15,4291,4279492,0.0010026891042207813
dose0_unvaccinated,16,3940,4275201,0.0009215940958097643
dose0_unvaccinated,17,3747,4271261,0.0008772584957931627
dose0_unvaccinated,18,4007,4267514,0.0009389541545733652
dose1,0,215,138486,0.001552503502159063
dose1,1,519,138271,0.003753498564413362
dose1,2,535,137752,0.003883791160926883
dose1,3,455,137217,0.0033159156664261716
dose1,4,472,136762,0.003451251078515962
dose1,5,471,136290,0.0034558661677305744
dose1,6,472,135819,0.0034752133353949007
dose1,7,452,135347,0.003339564231198327
dose1,8,502,134895,0.0037214129508135957
dose1,9,566,134393,0.004211528874271725
dose1,10,627,133827,0.004685153220202201
dose1,11,606,133200,0.00454954954954955
dose1,12,546,132594,0.004117833386126069
dose1,13,603,132048,0.004566521264994548
dose1,14,567,131445,0.004313591235878124
dose1,15,551,130878,0.004210027659346873
dose1,16,475,130327,0.0036446783859062203
dose1,17,439,129852,0.0033807719557650247
dose1,18,484,129413,0.0037399643003407693
dose2,0,6,28003,0.00021426275756168981
dose2,1,26,27997,0.0009286709290281101
dose2,2,18,27971,0.0006435236494941189
dose2,3,24,27953,0.0008585840518012378
dose2,4,24,27929,0.0008593218518385907
dose2,5,20,27905,0.0007167174341515857
dose2,6,26,27885,0.0009324009324009324
dose2,7,26,27859,0.0009332711152589828
dose2,8,28,27833,0.001006000071857148
dose2,9,29,27805,0.0010429778816759576
dose2,10,21,27776,0.0007560483870967742
dose2,11,35,27755,0.0012610340479192938
dose2,12,27,27720,0.000974025974025974
dose2,13,32,27693,0.0011555266673888708
dose2,14,24,27661,0.0008676475904703373
dose2,15,29,27637,0.001049317943336831
dose2,16,20,27608,0.0007244277021153289
dose2,17,16,27588,0.0005799623024503408
dose2,18,18,27572,0.000652836210648484
