icd,count,pct
I25,2131,0.15812124360020777
I50,911,0.06759664613786451
E11,624,0.04630110558729687
G30,438,0.03249981449877569
C34,388,0.028789790012614083
U07,362,0.026860577279810047
C50,362,0.026860577279810047
I63,340,0.02522816650589894
J18,334,0.024782963567559546
I21,313,0.02322475328337167
J44,305,0.02263114936558581
I11,304,0.02255694887586258
C25,295,0.02188914446835349
I10,279,0.020701936632781776
F01,214,0.015878904800771684
C18,197,0.014617496475476738
I48,195,0.014469095496030274
A41,190,0.014098093047414113
I70,179,0.013281887660458559
I64,170,0.01261408325294947
I61,165,0.012243080804333308
R99,152,0.01127847443793129
I67,143,0.0106106700304222
I69,132,0.009794464643466647
C80,128,0.009497662684573718
C56,124,0.00920086072568079
S72,109,0.008087853379832307
I26,107,0.007939452400385842
C16,89,0.006603843585367663
N18,83,0.00615864064702827
C64,81,0.006010239667581806
I71,77,0.005713437708688878
N17,73,0.005416635749795949
C71,73,0.005416635749795949
I35,72,0.005342435260072716
C22,71,0.005268234770349484
K70,68,0.005045633301179788
N39,64,0.004748831342286859
G20,64,0.004748831342286859
C54,62,0.004600430362840395
S06,60,0.00445202938339393
C20,57,0.004229427914224234
I46,55,0.00408102693477777
F03,53,0.003932625955331305
R54,50,0.0037100244861616085
C67,50,0.0037100244861616085
C24,49,0.0036358239964383765
C23,47,0.003487423016991912
I13,46,0.00341322252726868
E10,46,0.00341322252726868
C90,43,0.0031906210580989833
K56,42,0.0031164205683757514
E86,41,0.003042220078652519
C92,39,0.0028938190992060546
C53,37,0.0027454181197595906
C91,36,0.002671217630036358
K74,36,0.002671217630036358
A49,36,0.002671217630036358
J84,36,0.002671217630036358
I60,35,0.002597017140313126
K55,33,0.002448616160866662
K85,33,0.002448616160866662
K80,33,0.002448616160866662
C43,30,0.002226014691696965
J45,29,0.002151814201973733
J15,29,0.002151814201973733
C19,28,0.002077613712250501
K57,28,0.002077613712250501
I34,27,0.0020034132225272686
I80,27,0.0020034132225272686
J10,26,0.0019292127328040364
I12,26,0.0019292127328040364
I08,25,0.0018550122430808043
I74,25,0.0018550122430808043
T71,24,0.001780811753357572
I24,24,0.001780811753357572
J20,24,0.001780811753357572
C51,24,0.001780811753357572
A04,23,0.00170661126363434
I49,23,0.00170661126363434
C57,23,0.00170661126363434
I51,22,0.0016324107739111079
I42,22,0.0016324107739111079
K26,22,0.0016324107739111079
K65,22,0.0016324107739111079
C76,21,0.0015582102841878757
D46,20,0.0014840097944646435
C83,19,0.0014098093047414113
I27,19,0.0014098093047414113
C15,19,0.0014098093047414113
G40,19,0.0014098093047414113
K25,19,0.0014098093047414113
G35,19,0.0014098093047414113
J12,18,0.001335608815018179
J69,18,0.001335608815018179
I05,18,0.001335608815018179
J96,17,0.001261408325294947
R98,17,0.001261408325294947
E43,17,0.001261408325294947
T06,17,0.001261408325294947
I62,16,0.0011872078355717147
C48,16,0.0011872078355717147
R09,16,0.0011872078355717147
T17,16,0.0011872078355717147
A46,15,0.0011130073458484825
L89,15,0.0011130073458484825
E87,15,0.0011130073458484825
N19,15,0.0011130073458484825
C21,15,0.0011130073458484825
D37,15,0.0011130073458484825
K83,14,0.0010388068561252505
C73,14,0.0010388068561252505
K72,14,0.0010388068561252505
C26,14,0.0010388068561252505
S32,13,0.0009646063664020182
N10,13,0.0009646063664020182
K92,13,0.0009646063664020182
C65,12,0.000890405876678786
E66,12,0.000890405876678786
C49,11,0.0008162053869555539
E78,11,0.0008162053869555539
J16,10,0.0007420048972323217
F10,10,0.0007420048972323217
D68,10,0.0007420048972323217
C44,10,0.0007420048972323217
C85,10,0.0007420048972323217
S27,10,0.0007420048972323217
K52,10,0.0007420048972323217
K76,10,0.0007420048972323217
I38,10,0.0007420048972323217
T78,9,0.0006678044075090895
I44,9,0.0006678044075090895
G31,9,0.0006678044075090895
E41,9,0.0006678044075090895
E14,9,0.0006678044075090895
I82,9,0.0006678044075090895
C95,9,0.0006678044075090895
C55,9,0.0006678044075090895
D38,9,0.0006678044075090895
G12,8,0.0005936039177858574
G21,8,0.0005936039177858574
G93,8,0.0005936039177858574
J43,8,0.0005936039177858574
K43,8,0.0005936039177858574
C82,8,0.0005936039177858574
C88,8,0.0005936039177858574
E13,8,0.0005936039177858574
S22,8,0.0005936039177858574
I83,8,0.0005936039177858574
C17,8,0.0005936039177858574
D64,8,0.0005936039177858574
D48,8,0.0005936039177858574
I33,7,0.0005194034280626253
C09,7,0.0005194034280626253
K63,7,0.0005194034280626253
D41,7,0.0005194034280626253
K50,7,0.0005194034280626253
I72,7,0.0005194034280626253
D50,7,0.0005194034280626253
N30,7,0.0005194034280626253
E03,7,0.0005194034280626253
E05,7,0.0005194034280626253
C02,7,0.0005194034280626253
T75,7,0.0005194034280626253
T43,6,0.000445202938339393
C52,6,0.000445202938339393
C06,6,0.000445202938339393
K81,6,0.000445202938339393
C69,6,0.000445202938339393
