icd,vaccinated_count,vaccinated_pct,unvaccinated_count,unvaccinated_pct,difference,abs_difference
I70,1469.0,0.012871625469871284,109041.0,0.07157147301719827,-0.05869984754732698,0.05869984754732698
I64,1273.0,0.01115424045142692,86325.0,0.05666132379755908,-0.04550708334613216,0.04550708334613216
I21,2309.0,0.02023184697748999,91373.0,0.05997469029081223,-0.03974284331332224,0.03974284331332224
I50,7627.0,0.06682905885548555,43161.0,0.028329677340590182,0.038499381514895376,0.038499381514895376
E11,4771.0,0.04180430572958196,23062.0,0.015137253975317783,0.026667051754264176,0.026667051754264176
I67,1173.0,0.010278023605281836,56019.0,0.03676931013976788,-0.02649128653448604,0.02649128653448604
U07,3793.0,0.03323490497428304,14964.0,0.00982195249703648,0.02341295247724656,0.02341295247724656
G30,3648.0,0.03196439054737266,18080.0,0.011867208042396389,0.020097182504976274,0.020097182504976274
I25,16847.0,0.1476162520700623,251596.0,0.1651406014731616,-0.0175243494030993,0.0175243494030993
I10,2480.0,0.021730177784398085,13021.0,0.008546621455754612,0.013183556328643473,0.013183556328643473
F01,1824.0,0.01598219527368633,7433.0,0.004878814014332542,0.011103381259353791,0.011103381259353791
I11,2567.0,0.022492486440544305,17629.0,0.011571184213462718,0.010921302227081587,0.010921302227081587
I48,1768.0,0.015491513839845084,7873.0,0.0051676177498775865,0.010323896089967498,0.010323896089967498
J44,2643.0,0.02315841124361457,20716.0,0.013597404967161702,0.009561006276452868,0.009561006276452868
A41,1556.0,0.013633934126017508,9241.0,0.0060655348185721806,0.007568399307445327,0.007568399307445327
I26,849.0,0.007439081023771763,22435.0,0.014725708652166094,-0.007286627628394331,0.007286627628394331
R99,1479.0,0.012959247154485792,8741.0,0.005737348755452811,0.007221898399032981,0.007221898399032981
S72,800.0,0.007009734769160672,20981.0,0.013771343580614968,-0.006761608811454296,0.006761608811454296
C25,2550.0,0.02234352957669964,25015.0,0.016419148737862037,0.0059243808388376035,0.0059243808388376035
C34,3740.0,0.032770510045826144,41135.0,0.0269998674128305,0.005770642632995645,0.005770642632995645
C50,3191.0,0.02796007956048963,50095.0,0.03288096166392959,-0.004920882103439963,0.004920882103439963
E10,406.0,0.003557440395349041,11833.0,0.007766851369782991,-0.0042094109744339496,0.0042094109744339496
C18,1738.0,0.01522864878600156,28704.0,0.018840505511556745,-0.0036118567255551855,0.0036118567255551855
C16,759.0,0.0066504858622411876,15395.0,0.010104848883445375,-0.003454363021204188,0.003454363021204188
I35,681.0,0.005967036722248022,4400.0,0.0028880373554504486,0.0030789993667975734,0.0030789993667975734
C53,410.0,0.0035924890691948442,9979.0,0.006549937447736369,-0.002957448378541525,0.002957448378541525
I46,374.0,0.0032770510045826142,9278.0,0.006089820587243014,-0.0028127695826603996,0.0028127695826603996
I69,964.0,0.00844673039683861,8637.0,0.005669086054323983,0.002777644342514627,0.002777644342514627
G20,505.0,0.004424895073032674,2577.0,0.0016914709693172285,0.002733424103715446,0.002733424103715446
C23,392.0,0.0034347700368887292,9120.0,0.005986113791297294,-0.0025513437544085645,0.0025513437544085645
