icd,vacc_pct,unvacc_pct,diff
K70,0.05633532013074409,0.03993627380781899,0.016399046322925104
R99,0.02288021534320323,0.010480810539882573,0.012399404803320656
I50,0.026148817535089405,0.015564585421738508,0.010584232113350897
U07,0.014804845222072678,0.006220463983961048,0.00858438123811163
C71,0.02557200538358008,0.018983603035944437,0.006588402347635643
E11,0.010767160161507403,0.004886868108262925,0.005880292053244478
C25,0.030186502595654682,0.025884290419590433,0.00430221217606425
T43,0.006537204383772351,0.002747744522411571,0.0037894598613607802
C15,0.007306287252451452,0.0036427753114707147,0.0036635119409807373
I71,0.006344933666602577,0.003096806530144637,0.0032481271364579395
T06,0.010574889444337628,0.0076525132464556785,0.0029223761978819495
C80,0.015766198807921555,0.01338966060432479,0.0023765382035967654
I42,0.005575850797923477,0.0033474151510811973,0.0022284356468422794
T40,0.0028840607575466256,0.0006623227839037662,0.0022217379736428596
T78,0.0024995193232070756,0.0002953601603895174,0.0022041591628175583
S27,0.003460872909055951,0.001396248030932264,0.0020646248781236868
G10,0.0026917900403768506,0.0009576829442932837,0.0017341070960835668
I60,0.012497596616035379,0.01078512100816268,0.0017124756078726981
I51,0.004806767929244376,0.003141558069597594,0.0016652098596467817
G31,0.0026917900403768506,0.0010740369468709723,0.0016177530935058784
T51,0.008075370121130552,0.006462122297007017,0.001613247824123535
Q90,0.0023072486060373007,0.0007339252470284978,0.0015733233590088029
A41,0.005575850797923477,0.0040365888586567375,0.0015392619392667391
K76,0.004614497212074601,0.0030878562222540454,0.001526640989820556
F10,0.004999038646414151,0.0034995703852212516,0.0014994682611928997
C17,0.0024995193232070756,0.0012082915652298438,0.0012912277579772318
G80,0.0015381657373582003,0.0003222110840612917,0.0012159546532969085
G92,0.0013458950201884253,0.0001700558499212373,0.001175839170267188
K56,0.0026917900403768506,0.0015752541887440927,0.001116535851632758
C52,0.0019227071716977505,0.0008323786338250036,0.001090328537872747
I10,0.003460872909055951,0.0023897322067879135,0.0010711407022680375
T38,0.0011536243030186503,0.00011635400257768868,0.0010372703004409617
I63,0.008459911555470103,0.007437705857081483,0.0010222056983886195
K71,0.0019227071716977505,0.0009129314048403265,0.001009775766857424
Q21,0.0013458950201884253,0.0003401116998424746,0.0010057833203459508
J44,0.009421265141318977,0.008466991264499499,0.0009542738768194784
C20,0.013458950201884253,0.012512530431046828,0.0009464197708374256
K65,0.0030763314747164006,0.0021391235858513533,0.0009372078888650473
J18,0.014612574504902904,0.013676070456823715,0.0009365040480791894
I48,0.0013458950201884253,0.00041171416296720606,0.0009341808572212193
I69,0.0019227071716977505,0.001047186023199198,0.0008755211484985524
J45,0.0030763314747164006,0.0022017757410854933,0.0008745557336309073
I49,0.0017304364545279755,0.0008950307890591437,0.0008354056654688318
C13,0.0013458950201884253,0.0005459687813260776,0.0007999262388623477
I85,0.0017304364545279755,0.0009755835600744665,0.000754852894453509
J10,0.0011536243030186503,0.00040276385507661465,0.0007508604479420357
E85,0.0009613535858488752,0.00021480738937419447,0.0007465461964746808
A04,0.0009613535858488752,0.00021480738937419447,0.0007465461964746808
J69,0.0009613535858488752,0.00022375769726478591,0.0007375958885840893
C72,0.0013458950201884253,0.0006175712444508091,0.0007283237757376162
C09,0.0019227071716977505,0.0012082915652298438,0.0007144156064679066
L03,0.0009613535858488752,0.00028640985249892595,0.0006749437333499492
K86,0.0021149778888675257,0.0014409995703852214,0.0006739783184823043
D48,0.0007690828686791001,9.84533867965058e-05,0.0006706294818825943
E66,0.0021149778888675257,0.0014499498782758126,0.0006650280105917131
I72,0.0009613535858488752,0.0003132607761707003,0.0006480928096781749
F50,0.0007690828686791001,0.00013425461835887153,0.0006348282503202286
S26,0.0017304364545279755,0.0011187884863239296,0.0006116479682040459
E87,0.0007690828686791001,0.0001700558499212373,0.0005990270187578629
A49,0.0007690828686791001,0.0001700558499212373,0.0005990270187578629
K75,0.0009613535858488752,0.0003669626235142489,0.0005943909623346264
C07,0.0009613535858488752,0.00038486323929543177,0.0005764903465534435
I26,0.014612574504902904,0.014043033080337964,0.0005695414245649403
K63,0.0009613535858488752,0.00041171416296720606,0.0005496394228816691
D70,0.0005768121515093252,6.265215523414006e-05,0.0005141599962751851
E43,0.0007690828686791001,0.00025955892882715165,0.0005095239398519484
I80,0.005575850797923477,0.005083774881855936,0.0004920759160675411
I62,0.0011536243030186503,0.0006712730917943577,0.0004823512112242926
C02,0.0019227071716977505,0.0014409995703852214,0.0004817076013125291
T62,0.0005768121515093252,0.00010740369468709724,0.00046940845682222793
G04,0.0007690828686791001,0.0003132607761707003,0.00045582209250839985
T14,0.0005768121515093252,0.00013425461835887153,0.00044255753315045363
C06,0.0009613535858488752,0.0005191178576543033,0.00044223572819457194
J98,0.0005768121515093252,0.00014320492624946297,0.0004336072252598622
J80,0.0005768121515093252,0.00015215523414005441,0.00042465691736927075
Q61,0.0005768121515093252,0.00016110554203064585,0.0004157066094786793
T04,0.0009613535858488752,0.0005549190892166691,0.0004064344966322062
G20,0.0007690828686791001,0.0003669626235142489,0.00040212024516485126
U10,0.0005768121515093252,0.00017900615781182874,0.00039780599369749646
T81,0.0007690828686791001,0.0003759129314048403,0.00039316993727425985
J20,0.0007690828686791001,0.0003759129314048403,0.00039316993727425985
N15,0.0005768121515093252,0.00018795646570242015,0.000388855685806905
J39,0.0003845414343395501,0.0,0.0003845414343395501
C30,0.0005768121515093252,0.0001969067735930116,0.0003799053779163136
C43,0.008844452989809652,0.008466991264499499,0.000377461725310153
D62,0.0003845414343395501,8.950307890591436e-06,0.00037559112644895866
