enrollment_date,t,calendar_week,dead0,alive0,h0,dead2,alive2,h2,dead3,alive3,h3,HR20,HR30,edge_sameweek0,edge_sameweek2,edge_sameweek3
2021-10-25,3,2021-11-15,1219,5417858,0.00022502198397276319,1138,4834244,0.0002354316343685256,31,75129,0.00041270877325666694,1.046260592907324,1.8340820126562456,3,17,0
2021-10-25,4,2021-11-22,1284,5345752,0.00024021956632779785,1144,4730238,0.00024187754602065546,37,75097,0.00049281752763903,1.0069019344185943,2.0515295034982417,4,9,0
2021-10-25,5,2021-11-29,1329,5258065,0.0002527865257891229,1061,4592371,0.00023106203377934112,41,75059,0.0005463862020163333,0.9140599288590856,2.161453029629175,6,17,0
2021-10-25,6,2021-12-06,1314,5200944,0.0002526783631347791,1011,4310489,0.00023457166474905784,33,75018,0.0004399912072741908,0.9283409225820294,1.7413093935530155,4,15,0
2021-10-25,7,2021-12-13,1243,5163117,0.00024077502944168646,851,3972968,0.00021422049059372566,45,74984,0.000600308176215589,0.8897122392237437,2.4932326977909405,1,19,0
2021-10-25,8,2021-12-20,1095,5126010,0.00021363925775764303,766,3652336,0.00020975078343241012,42,74938,0.0005606204346147635,0.9817988773877688,2.624145208605543,0,18,0
2021-10-25,9,2021-12-27,1032,5105508,0.0002021550677286636,658,3463171,0.00019001733315573952,37,74896,0.0004941404394226725,0.9399582968198671,2.4443633542044925,2,8,0
2021-10-25,10,2022-01-03,928,5086213,0.00018247066510255092,542,3253107,0.00016662383263522834,37,74859,0.0004943847349178015,0.9131540817346369,2.7093929571635567,3,6,0
2021-10-25,11,2022-01-10,863,5053563,0.0001707851857996349,549,2852893,0.00019245475751296246,34,74822,0.00045451508034649775,1.1268820337775096,2.6613261461666506,1,6,0
2021-10-25,12,2022-01-17,751,5023887,0.00014949702044051905,490,2487574,0.00019699846766735866,36,74788,0.0004814765373205563,1.317741765600868,3.2206430328965867,0,4,0
2021-10-25,13,2022-01-24,732,5003556,0.0001463066566141942,405,2260814,0.00017915506538082138,33,74752,0.00044155723232167186,1.224517527273194,3.0180255809278975,2,2,0
2021-10-25,14,2022-01-31,873,4990332,0.00017495356410307747,467,2090906,0.00022337310216773582,47,74719,0.0006292213259257467,1.2767565114371204,3.5965047591429924,1,4,0
2021-10-25,15,2022-02-07,858,4981867,0.00017223942205468244,462,1981091,0.00023323203158945172,44,74672,0.0005894172977072482,1.3541152705180663,3.4220812557076536,2,3,0
2021-10-25,16,2022-02-14,827,4977014,0.00016617769537719725,407,1917404,0.00021228869986651526,53,74628,0.000710441508940353,1.277480105766621,4.275191729718976,0,0,0
2021-10-25,17,2022-02-21,797,4973379,0.00016026606211425482,354,1874444,0.00018887383764020114,37,74575,0.0004962679412172693,1.178501768550048,3.0965254569209812,0,0,0
2021-10-25,18,2022-02-28,773,4970451,0.00015553118104564466,340,1841236,0.00018467561780311566,50,74538,0.0006710238733662149,1.1873864556388716,4.314400937836932,0,0,0
2021-10-25,19,2022-03-07,761,4968112,0.00015318863378344728,354,1820202,0.00019450282337667052,42,74488,0.0005640082333566741,1.2696948760025264,3.6817890428736084,0,0,0
2021-10-25,20,2022-03-14,671,4966130,0.00013512439973527315,328,1802678,0.0001819680739817515,52,74446,0.0006987369271120857,1.3466707296258218,5.171064060088372,0,0,0
