cohort,intercept,slope
dose0_unvaccinated,-7.032878535862369,0.0328696993416675
dose1,-7.449118837247871,0.05012532550869602
dose2,-7.870664162388745,0.06370098267874431
dose3,-7.3525803205208975,0.08244064093820903
dose4,-5.633805193265268,0.002355277804089356
