t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.001671980955577517,0.0016755274092194157,dose1,0.9978833801104846
1,0.003054767344113807,0.003278397790311161,dose1,0.9317866648793967
2,0.004221792241421173,0.004856022045959158,dose1,0.8693931371388357
3,0.005439235125819966,0.0061147360116434275,dose1,0.8895290188445208
4,0.006278739754978934,0.00727223230273279,dose1,0.8633854768027827
5,0.007338789997142963,0.0083208743332605,dose1,0.8819734203803694
6,0.008312747333073195,0.009427483820477008,dose1,0.8817567328130225
7,0.009301377987254533,0.010544539835508702,dose1,0.8821037362910868
8,0.01034700980800127,0.011722827197462806,dose1,0.8826377487981786
9,0.011444054794779503,0.013027746115334223,dose1,0.8784370444885257
10,0.012398613987418039,0.014180097065993456,dose1,0.8743673565026493
11,0.01373448909826619,0.015666301666296987,dose1,0.876689941885684
12,0.014949232633078171,0.0170289593653608,dose1,0.8778711788231204
13,0.015910074237082485,0.01812164104922686,dose1,0.8779599040167123
14,0.017000483037897512,0.01928186152627544,dose1,0.8816826639818582
15,0.017881275872160915,0.020355459372265787,dose1,0.8784511095655063
16,0.01895711997134525,0.021348786304829462,dose1,0.8879717891114425
17,0.019760070726324894,0.022336476147030885,dose1,0.8846547949358109
18,0.02055045905193259,0.023304028794472752,dose1,0.8818414718027171
19,0.021435216766149692,0.024307878420314896,dose1,0.8818217861149805
20,0.022433806309499503,0.02529359588801719,dose1,0.8869362192680779
21,0.023558014367182786,0.026386021779583838,dose1,0.892821758546336
22,0.02456942473747247,0.027582063675276762,dose1,0.890775433841252
23,0.025832798196550384,0.02895625277019348,dose1,0.892131948172852
24,0.025832798196550384,0.02895625277019348,dose1,0.892131948172852
0,0.0011653872295420275,0.0016755274092194157,dose2,0.6955345656741099
1,0.002143111190952854,0.003278397790311161,dose2,0.6537068798157465
2,0.003079363654168468,0.004856022045959158,dose2,0.6341329640578477
3,0.0038814593772939577,0.0061147360116434275,dose2,0.6347713734931928
4,0.0046012106628440675,0.00727223230273279,dose2,0.6327095272358524
5,0.005305946505839881,0.0083208743332605,dose2,0.6376669437240619
6,0.005980967738514295,0.009427483820477008,dose2,0.634418244758892
7,0.006692886490270874,0.010544539835508702,dose2,0.6347253264763508
8,0.007395007630491897,0.011722827197462806,dose2,0.6308211752418896
9,0.0081412166633033,0.013027746115334223,dose2,0.6249136719893412
10,0.008823248855231057,0.014180097065993456,dose2,0.6222276768308337
11,0.009741546824299634,0.015666301666296987,dose2,0.6218153480750898
12,0.010594356508485734,0.0170289593653608,dose2,0.6221376351049346
13,0.011227445149769175,0.01812164104922686,dose2,0.6195600673609316
14,0.011935126227974838,0.01928186152627544,dose2,0.6189820526971336
15,0.012599819384689655,0.020355459372265787,dose2,0.6189896849607756
16,0.013210574660844212,0.021348786304829462,dose2,0.6187974562861663
17,0.013851351564848784,0.022336476147030885,dose2,0.6201225060323526
18,0.014484235924613871,0.023304028794472752,dose2,0.621533557640802
19,0.015109962895302094,0.024307878420314896,dose2,0.6216076382072322
20,0.015692231052562084,0.02529359588801719,dose2,0.6204033274436814
21,0.016390263973000026,0.026386021779583838,dose2,0.6211722293453426
22,0.017103730160475995,0.027582063675276762,dose2,0.6201033527156583
23,0.01791202206134178,0.02895625277019348,dose2,0.6185890903384148
24,0.01791202206134178,0.02895625277019348,dose2,0.6185890903384148
0,0.0009029343083604315,0.0016755274092194157,dose3plus,0.5388955757173732
1,0.0019138962339419344,0.003278397790311161,dose3plus,0.5837901181529566
2,0.003039983444619099,0.004856022045959158,dose3plus,0.626023402534331
3,0.004213867627277722,0.0061147360116434275,dose3plus,0.6891332051890248
4,0.005297901215722669,0.00727223230273279,dose3plus,0.7285109983358603
5,0.006309294786052432,0.0083208743332605,dose3plus,0.7582490171825383
6,0.00745584876032612,0.009427483820477008,dose3plus,0.7908630660644304
7,0.008602921719098947,0.010544539835508702,dose3plus,0.815865068792549
8,0.009724233344989307,0.011722827197462806,dose3plus,0.8295126406251581
9,0.010950959758366722,0.013027746115334223,dose3plus,0.8405874401126361
10,0.012113839511676144,0.014180097065993456,dose3plus,0.8542846677596536
11,0.01360158054769763,0.015666301666296987,dose3plus,0.8682062197289735
12,0.015021757859857616,0.0170289593653608,dose3plus,0.8821301135718116
13,0.016086741927757532,0.01812164104922686,dose3plus,0.887708893646591
14,0.017289850175856245,0.01928186152627544,dose3plus,0.8966898839823445
15,0.018343345598231208,0.020355459372265787,dose3plus,0.9011511487833468
16,0.019355938891723903,0.021348786304829462,dose3plus,0.906652894194674
17,0.020290764732703727,0.022336476147030885,dose3plus,0.9084138696825058
18,0.0212522816393795,0.023304028794472752,dose3plus,0.9119574055584825
19,0.022249308905377897,0.024307878420314896,dose3plus,0.9153126619996628
20,0.023171602537271515,0.02529359588801719,dose3plus,0.916105509036496
21,0.0242120636228405,0.026386021779583838,dose3plus,0.9176094761149995
22,0.02525391053235255,0.027582063675276762,dose3plus,0.9155917711144055
23,0.026421987976313694,0.02895625277019348,dose3plus,0.9124795319717286
24,0.026421987976313694,0.02895625277019348,dose3plus,0.9124795319717286
