cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose0_unvaccinated,0,7277,4353336,0.0016715916253650074,-6.393979037354603,0.033897226145094723,0.0016715916253650074,0.0016715916253650074
dose0_unvaccinated,1,5788,4346059,0.0013317812758639493,-6.621237927656783,0.033897226145094723,0.00128739413531915,0.0029589857606841575
dose0_unvaccinated,2,7007,4340271,0.0016144153210709653,-6.428782418152922,0.033897226145094723,0.0015085944786874263,0.004467580239371584
dose0_unvaccinated,3,4959,4333264,0.0011444029258314288,-6.772872240140566,0.033897226145094723,0.0010337483388173129,0.005501328578188897
dose0_unvaccinated,4,4035,4328305,0.0009322355979996789,-6.97792498767077,0.033897226145094723,0.0008140295485007143,0.006315358126689611
dose0_unvaccinated,5,3698,4324270,0.0008551732431138666,-7.0642064860278975,0.033897226145094723,0.0007218504187706285,0.007037208545460239
dose0_unvaccinated,6,3705,4320572,0.0008575253461810149,-7.061459821132426,0.033897226145094723,0.0006997109911204623,0.007736919536580702
dose0_unvaccinated,7,3720,4316867,0.00086173606923725,-7.0565615183640515,0.033897226145094723,0.0006797115089355036,0.008416631045516206
dose0_unvaccinated,8,3837,4313147,0.0008896056637995413,-7.024732267807084,0.033897226145094723,0.0006783073345276694,0.009094938380043875
dose0_unvaccinated,9,4336,4309310,0.0010061935669515537,-6.901580813336802,0.033897226145094723,0.0007416331466046319,0.009836571526648507
dose0_unvaccinated,10,5574,4304974,0.0012947813389813736,-6.649413448294871,0.033897226145094723,0.0009225345688479147,0.01075910609549642
dose0_unvaccinated,11,6059,4299400,0.0014092664092664093,-6.564685987099184,0.033897226145094723,0.0009706394520985592,0.011729745547594981
dose0_unvaccinated,12,4702,4293341,0.0010951843797173343,-6.816832546585048,0.033897226145094723,0.0007291732059169267,0.012458918753511907
dose1,0,215,138486,0.001552503502159063,-6.467886488340143,-0.00968661523659197,0.001552503502159063,0.001552503502159063
dose1,1,519,138271,0.003753498564413362,-5.5850669234174255,-0.00968661523659197,0.0037900339271212647,0.005342537429280328
dose1,2,535,137752,0.003883791160926883,-5.550943499070015,-0.00968661523659197,0.003959766307966631,0.00930230373724696
dose1,3,455,137217,0.0033159156664261716,-5.709021474352709,-0.00968661523659197,0.0034136894287783567,0.012715993166025317
dose1,4,472,136762,0.003451251078515962,-5.669018482219861,-0.00968661523659197,0.0035875992912586863,0.016303592457284
dose1,5,471,136290,0.0034558661677305744,-5.667682153405141,-0.00968661523659197,0.0036273639567321538,0.019930956414016154
dose1,6,472,135819,0.0034752133353949007,-5.662099410369215,-0.00968661523659197,0.003683176503052845,0.023614132917069
dose1,7,452,135347,0.003339564231198327,-5.70191495020654,-0.00968661523659197,0.003573861398301756,0.027187994315370757
dose1,8,502,134895,0.0037214129508135957,-5.593651857324996,-0.00968661523659197,0.004021264251249912,0.03120925856662067
dose1,9,566,134393,0.004211528874271725,-5.469929544178286,-0.00968661523659197,0.004595167794660389,0.03580442636128106
dose1,10,627,133827,0.004685153220202201,-5.363356659407703,-0.00968661523659197,0.005161693750948844,0.0409661201122299
dose1,11,606,133200,0.00454954954954955,-5.392727051019111,-0.00968661523659197,0.0050610855484943575,0.04602720566072426
dose1,12,546,132594,0.004117833386126069,-5.492428131096455,-0.00968661523659197,0.004625417007690212,0.05065262266841447
dose2,0,6,28003,0.00021426275756168981,-8.448307457047044,0.030639012510883672,0.00021426275756168981,0.00021426275756168981
dose2,1,26,27997,0.0009286709290281101,-6.98175610253851,0.030639012510883672,0.0009006488454082511,0.001114911602969941
dose2,2,18,27971,0.0006435236494941189,-7.348551780252795,0.030639012510883672,0.000605273700160511,0.0017201853031304519
dose2,3,24,27953,0.0008585840518012378,-7.0602259770013,0.030639012510883672,0.0007831839071393588,0.0025033692102698108
dose2,4,24,27929,0.0008593218518385907,-7.059367024155104,0.030639012510883672,0.0007602045058787664,0.003263573716148577
dose2,5,20,27905,0.0007167174341515857,-7.240828889668543,0.030639012510883672,0.0006149165734889333,0.0038784902896375102
dose2,6,26,27885,0.0009324009324009324,-6.977747650802172,0.030639012510883672,0.0007758264374575992,0.004654316727095109
dose2,7,26,27859,0.0009332711152589828,-6.976814814913632,0.030639012510883672,0.0007531185523704132,0.005407435279465522
dose2,8,28,27833,0.001006000071857148,-6.901773135876016,0.030639012510883672,0.0007873125589607862,0.006194747838426309
dose2,9,29,27805,0.0010429778816759576,-6.86567530963519,0.030639012510883672,0.0007916221033659369,0.006986369941792246
dose2,10,21,27776,0.0007560483870967742,-7.187405179736654,0.030639012510883672,0.0005565267585006733,0.0075428967002929195
dose2,11,35,27755,0.0012610340479192938,-6.675823221634848,0.030639012510883672,0.0009002371230787889,0.008443133823371708
dose2,12,27,27720,0.000974025974025974,-6.934072587299511,0.030639012510883672,0.0006743638624663334,0.009117497685838041
