country,wave,r2_fit,fit_tier,week_start,week_end,n_weekly_observations,n_week_intervals,span_calendar_days,slope_ols_deaths_per_million_per_week,slope_secant_delta_over_n_minus_1,delta_cumulative
World,1,0.9975724293171812,primary,2020-11-22,2021-03-07,16,15,105,10.937164705882354,10.458066666666666,156.87099999999998
World,2,0.9975785219308805,primary,2021-03-28,2021-06-20,13,12,84,10.517967032967036,10.183750000000003,122.20500000000004
World,3,0.9995287597102018,primary,2021-08-08,2021-09-12,6,5,35,8.631314285714293,8.572800000000006,42.86400000000003
