country,wave,search_start,search_end,segment_start,segment_end,peak_week,n_weeks,slope_deaths_per_million_per_week,intercept,r2,delta_cum_over_segment,status
Argentina,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-01-09,2022-02-20,2022-01-30,7,32.59814285714291,2643.2135714285714,0.9387594942424415,188.3810000000003,ok
Armenia,first_wave_2020,2020-02-15,2020-10-15,2020-05-24,2020-10-11,2020-06-28,21,16.347364935064938,61.9036839826839,0.9410994273041499,325.942,ok
Armenia,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-18,2021-01-31,2020-11-22,16,49.87950735294118,409.9515073529411,0.9657827788798814,693.885,ok
Armenia,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-11-28,2021-11-14,31,31.996937499999998,1300.8955181451615,0.7941138330675015,1171.516,ok
Armenia,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-01-02,2021-11-21,7,39.310928571428576,2564.5782142857142,0.9131679249746222,242.63400000000001,ok
Aruba,first_wave_2020,2020-02-15,2020-10-15,2020-08-23,2020-10-11,2020-09-20,8,34.56828571428572,51.79749999999996,0.981938383809675,231.928,ok
Aruba,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-05-30,2021-02-14,35,21.903886834733896,222.96040952380935,0.9717025663080321,742.1700000000001,ok
Aruba,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-10-17,2021-09-05,25,28.024085384615386,809.9926553846154,0.8052158116156354,667.9540000000001,ok
Aruba,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-12-19,2022-03-13,2022-02-27,13,28.341142857142852,1619.0112967032965,0.9344537474052141,315.423,ok
Australia,first_wave_2020,2020-02-15,2020-10-15,2020-08-02,2020-10-11,2020-08-23,11,2.4406272727272733,14.46486363636363,0.8921466245607653,24.503000000000004,ok
Australia,alpha_winter_2020_21,2020-10-01,2021-05-31,,,,,,,,,no_segment
Australia,delta_2021,2021-05-01,2021-11-30,2021-08-29,2021-11-28,2021-10-17,14,3.6171890109890112,37.23305714285715,0.9933290338413969,43.281,ok
Australia,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-01-09,2022-04-24,2022-02-06,16,11.328130882352939,131.862830882353,0.919829924456149,186.82500000000002,ok
Austria,first_wave_2020,2020-02-15,2020-10-15,2020-04-05,2020-05-17,2020-04-19,7,8.285642857142857,26.362214285714284,0.9164670460297301,50.746,ok
Austria,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-11-08,2021-05-02,2020-12-13,26,44.339691623931635,378.8217777777776,0.9253806316708246,1170.257,ok
Austria,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-11-28,2021-11-28,31,6.644984677419353,1362.55522983871,0.7876920664641307,311.4279999999999,ok
